,match,no_data,mismatch,mismatch_fraction
Pan_troglodytes,52115.0,701.0,550.0,0.010443368461027247
Gorilla_gorilla,53007.0,,359.0,0.006727129633099726
Pongo_abelii,47906.0,4629.0,831.0,0.01705070069967376
