,match,mismatch,no_data,mismatch_fraction
Homo_sapiens,403427.0,3401.0,3005.0,0.008359798243975342
Gorilla_gorilla,406684.0,3149.0,,0.007683617473458701
Pongo_abelii,376476.0,5931.0,27426.0,0.0155096533274757
