,match,mismatch,no_data,mismatch_fraction
Macaca_mulatta,174539.0,1264.0,1460.0,0.007189865929477881
Macaca_nemestrina,171652.0,1485.0,4126.0,0.008577022820078897
Papio_anubis,161599.0,4246.0,11418.0,0.0256022189393711
