,match,mismatch,no_data,mismatch_fraction
Macaca_mulatta,178703.0,1313.0,1849.0,0.00729379610701271
Macaca_nemestrina,175409.0,1403.0,5053.0,0.007934981788566386
Papio_anubis,164592.0,4214.0,13059.0,0.024963567645699798
