population,pvalue,lnl_sub,lnl_sup
Homo_sapiens,0.1266873113729925,-33.91454783907466,-32.65150790599091
Pan_paniscus,0.048687594069808,-34.169965054161366,-32.02981551095354
Pan_troglodytes_ellioti,0.3904576517016909,-34.99425900198548,-34.66883045422401
Pan_troglodytes_schweinfurthii,0.0006208693120327,-41.22014733239576,-34.872287787278765
Pan_troglodytes_troglodytes,1.3791039476889376e-05,-45.2746996605465,-35.17710426613485
Pan_troglodytes_verus,0.7499952480258163,-33.32670040051562,-33.32670040044468
Pan_troglodytes,0.0016294368770695,-42.15102008675058,-36.74671300488444
Gorilla_gorilla,0.0134456282060252,-38.723091091085735,-35.36272978936904
Gorilla_beringei,0.3776823253949335,-32.653530240536384,-32.303761463564115
Gorilla_beringei_beringei,0.4416282641223843,-34.76026544889828,-34.52143390969832
Gorilla_beringei_graueri,0.0005967442269022,-41.94169638672429,-35.55499921500632
Gorilla_gorilla_gorilla,0.005119534489423,-39.703819814838425,-35.41267159000017
Pongo_abelii,0.1527264833573051,-36.435928077668,-35.3388365716437
Pongo_pygmaeus,0.027250647719287,-37.752476386956914,-35.06582076228369
Macaca_cyclopis,0.7499940813882184,-42.00019925818015,-42.0001992580701
Macaca_fuscata,9.547520703118737e-08,-51.0455439092093,-36.018833081250705
Macaca_mulatta,8.196223566369617e-15,-67.23290562944749,-36.00275426960616
Macaca_hecki,0.0003064039604671,-53.32383816100378,-46.28311367873357
Macaca_leonina,1.5278653275183926e-05,-62.43994749394005,-52.44361358914284
Macaca_maura,2.705422874904514e-07,-54.0595238032256,-40.066896837383865
Macaca_nemestrina_nemestrina,3.589680628178144e-12,-63.60056793898912,-38.43447665872782
Macaca_nemestrina,5.6887248858694835e-27,-97.11101583820256,-37.93018485522134
Macaca_nigra,0.4590099976555911,-39.49586759619797,-39.282855874607776
Macaca_radiata,0.75,-43.32984334198409,-43.329843342024105
Macaca_silenus,0.5631628770877039,-40.72861829340536,-40.637690744860265
Macaca_tonkeana,1.7468824319398865e-08,-49.27320344921054,-32.55889880730706
Macaca_arctoides,0.2823571927923052,-38.54805005628441,-37.972782584141896
Macaca_assamensis,1.3789076332612576e-11,-61.98410674253682,-38.15901120242961
Macaca_leucogenys,4.3469829772265376e-14,-73.94050275407608,-44.37429411649737
Papio_anubis,0.0588333389146968,-23.244907273080408,-21.28114598602449
Papio_cynocephalus_anubishybrid,0.1562099537083375,-64.83524607100117,-63.75800126678041
Papio_cynocephalus_ssp,0.2260207016910324,-47.30977091918794,-46.550867400103016
Papio_cynocephalus,0.1670011270184199,-46.68130303311045,-45.66259904058825
Papio_hamadryas,0.7499984781541549,-46.53126294449612,-46.53126294448885
Papio_kindae,0.4372355202731919,-41.88205352836303,-41.63642310748583
Papio_ursinus,0.7499981361266054,-65.91828204985904,-65.91828204984813
Papio_ursinus_ssp,0.7499992390775321,-70.28900450742185,-70.28900450742003
Theropithecus_gelada,0.75,-35.0639933400289,-35.063993340059824
Erythrocebus_patas,7.669113953666845e-05,-85.13077960331611,-76.72702944865614
Rhinopithecus_bieti,0.0028219213685961,-66.92185237213062,-62.05256800891539
Rhinopithecus_roxellana,2.1157945405206217e-39,-162.6548214033901,-74.87661061869903
Semnopithecus_hypoleucos,0.2942352160672679,-81.23232566435854,-80.69015459016009
Trachypithecus_francoisi,0.0231804617141066,-41.38890403186906,-38.54867278164056
Trachypithecus_poliocephalus,0.2252493241260604,-35.97237197592949,-35.21059148004406
