population,params,params_ci_5,params_ci_95,discretized,discretized_ci_5,discretized_ci_95
Homo_sapiens,"{'S_d': -223.12909688748303, 'b': 0.3500962496642684, 'p_b': 0.07450724624393526, 'S_b': 42.19300285103416, 'eps': 0.0, 'h': 0.5}","{'S_d': -518.0418368333277, 'b': 0.15438823487707615, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -79.10871567725606, 'b': 0.7649417578092252, 'p_b': 0.3028712817874042, 'S_b': 100.0, 'eps': 0.0, 'h': 0.5}",[0.30522439 0.25988737 0.14238998 0.21799101 0.06683413 0.00767312],[0.20754421 0.18444781 0.07856203 0.0184107  0.         0.        ],[0.37846201 0.37151675 0.18029128 0.30894536 0.30563796 0.0283694 ]
Pan_paniscus,"{'S_d': -7542.962921645422, 'b': 1.1852835342423318, 'p_b': 0.18798176344126435, 'S_b': 13.595135360795757, 'eps': 0.0, 'h': 0.5}","{'S_d': -39003.15463110427, 'b': 0.08357244822543042, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -87.33563675735483, 'b': 10.0, 'p_b': 0.3923957565104685, 'S_b': 100.0, 'eps': 0.0, 'h': 0.5}",[0.38805196 0.18286896 0.06763813 0.17345919 0.18167977 0.00630199],"[1.90690491e-01 8.61420157e-02 5.41234578e-07 1.11022302e-16
 0.00000000e+00 0.00000000e+00]",[0.47586203 0.42920072 0.12071827 0.36871411 0.3970109  0.03525155]
Pan_troglodytes_ellioti,"{'S_d': -5055.1901005075015, 'b': 0.12299622742309214, 'p_b': 0.011520388620496775, 'S_b': 4.318660545985654, 'eps': 0.0, 'h': 0.5}","{'S_d': -12882.664671034012, 'b': 0.09742014988901052, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -1114.0562194442919, 'b': 0.1485462130555257, 'p_b': 0.08405981622967586, 'S_b': 7.966234880192217, 'eps': 0.0, 'h': 0.5}","[4.54321060e-01 1.27671004e-01 9.61375048e-02 3.10350042e-01
 1.11867603e-02 3.33628347e-04]",[0.41968828 0.10455778 0.0820346  0.23762579 0.         0.        ],[0.4835482  0.15705669 0.11079588 0.33275545 0.09777849 0.00249505]
Pan_troglodytes_schweinfurthii,"{'S_d': -2784.8189047143796, 'b': 0.47996556705314125, 'p_b': 0.12690167153294798, 'S_b': 29.697657702351048, 'eps': 0.0, 'h': 0.5}","{'S_d': -10669.173659744085, 'b': 0.1094365259507918, 'p_b': 0.0017866020259301766, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -156.27606391659464, 'b': 1.4867253902591724, 'p_b': 0.32951664322100993, 'S_b': 100.0, 'eps': 0.0, 'h': 0.5}",[0.45065548 0.17173236 0.08088581 0.16982468 0.11685748 0.01004419],"[3.92747007e-01 1.10400566e-01 1.23864408e-02 4.43995886e-04
 2.34095997e-05 0.00000000e+00]",[0.50244534 0.27346969 0.11553138 0.29935658 0.32962758 0.03648375]
Pan_troglodytes_troglodytes,"{'S_d': -14340.049544789028, 'b': 2.7916930936566136, 'p_b': 0.2542105777084325, 'S_b': 8.96714458112703, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.09770070969068832, 'p_b': 0.008029782988241986, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -122.07217802460897, 'b': 10.0, 'p_b': 0.3386501441011397, 'S_b': 100.0, 'eps': 0.0, 'h': 0.5}",[0.51303264 0.13627762 0.03188662 0.06459255 0.25008054 0.00413004],"[4.54212913e-01 7.34013158e-02 2.46964937e-09 0.00000000e+00
 8.36197908e-05 0.00000000e+00]",[0.56509793 0.24110291 0.08032372 0.28914688 0.33868666 0.0313391 ]
Pan_troglodytes_verus,"{'S_d': -27889.542121509472, 'b': 0.09744996740895255, 'p_b': 0.014561118399451395, 'S_b': 1.5923154639479842, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.07284108179101655, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -1800.1053972886139, 'b': 0.11941477778854356, 'p_b': 0.09072467998357592, 'S_b': 0.586280122690808, 'eps': 0.0, 'h': 0.5}","[4.50952462e-01 1.03482616e-01 8.24737715e-02 3.48530033e-01
 1.44440350e-02 1.17083387e-04]",[0.41663851 0.07953282 0.06628707 0.27577493 0.         0.        ],"[4.83206534e-01 1.35508012e-01 1.03624995e-01 3.77552848e-01
 1.26908915e-01 1.17083387e-04]"
Gorilla_beringei_beringei,"{'S_d': -60768.354775824584, 'b': 0.09778194695262186, 'p_b': 0.045329688073278786, 'S_b': 1.2391892588388607, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.07896494997454769, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -7043.4901188402755, 'b': 0.1376467139453196, 'p_b': 0.21649000993244066, 'S_b': 2.1313012282750723, 'eps': 0.0, 'h': 0.5}","[5.01655124e-01 8.86465986e-02 7.09527249e-02 2.93415865e-01
 4.52221561e-02 1.07531984e-04]",[0.46318521 0.06998977 0.05249638 0.12888434 0.         0.        ],"[5.36311683e-01 1.17410504e-01 9.17784252e-02 3.44978139e-01
 2.23099139e-01 1.07531984e-04]"
Gorilla_beringei_graueri,"{'S_d': -34807.31370105397, 'b': 0.7297208375570928, 'p_b': 0.20786091950962665, 'S_b': 8.029550666912511, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08137240391025007, 'p_b': 0.006568486601719353, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -142.27073034684526, 'b': 2.918489982599782, 'p_b': 0.37462032230116676, 'S_b': 100.0, 'eps': 0.0, 'h': 0.5}",[0.46940439 0.12740341 0.05480489 0.14052638 0.19880974 0.00905118],"[3.47269757e-01 5.70942348e-02 3.62341294e-04 3.66085541e-07
 6.58921852e-05 0.00000000e+00]",[0.54417576 0.27574661 0.1046532  0.34086798 0.37466505 0.04490399]
Gorilla_gorilla_gorilla,"{'S_d': -12520.253473211013, 'b': 0.2898263692121523, 'p_b': 0.11528477359061988, 'S_b': 26.780845112667247, 'eps': 0.0, 'h': 0.5}","{'S_d': -66598.67910022978, 'b': 0.09055423436224189, 'p_b': 0.0, 'S_b': 0.00010000000000000118, 'eps': 0.0, 'h': 0.5}","{'S_d': -323.34360921845285, 'b': 0.7914184101173782, 'p_b': 0.3186543274700454, 'S_b': 100.0, 'eps': 0.0, 'h': 0.5}",[0.49230698 0.13090018 0.07358089 0.18792717 0.11052936 0.00475542],[0.44691705 0.08749727 0.02737741 0.00521818 0.         0.        ],[0.5301976  0.19027772 0.1006147  0.30847837 0.31971183 0.02407892]
Pongo_abelii,"{'S_d': -5071.739862926391, 'b': 0.13212573004132327, 'p_b': 0.013700750208713459, 'S_b': 17.68257937525784, 'eps': 0.0, 'h': 0.5}","{'S_d': -12874.835967077166, 'b': 0.10699987965745966, 'p_b': 0.0, 'S_b': 0.00010100609486869279, 'eps': 0.0, 'h': 0.5}","{'S_d': -1079.3551422764347, 'b': 0.17134177046595334, 'p_b': 0.10110463277911552, 'S_b': 100.0, 'eps': 0.0, 'h': 0.5}",[0.47708537 0.12900764 0.0952056  0.28500063 0.01306404 0.00063671],[0.44412695 0.107832   0.08142723 0.18844702 0.         0.        ],[0.5038286  0.15803028 0.11179178 0.30791394 0.14890259 0.00324085]
