population,params,params_ci_5,params_ci_95,discretized,discretized_ci_5,discretized_ci_95
Pongo_pygmaeus,"{'S_d': -646.8165435484591, 'b': 0.15384412378233142, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -1261.1513916412343, 'b': 0.13585086016120385, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -312.129545450981, 'b': 0.17345018464850503, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.38545336 0.18198849 0.12887079 0.30368736 0.         0.        ],[0.34767765 0.1535952  0.11305122 0.2928961  0.         0.        ],[0.4207034  0.21590482 0.14703176 0.31428471 0.         0.        ]
Macaca_cyclopis,"{'S_d': -69329.31385146268, 'b': 0.09502483073136311, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08763681021396323, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -11671.038341835612, 'b': 0.11181868377541854, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.53556896 0.09138242 0.07329204 0.29975658 0.         0.        ],[0.50916655 0.08427402 0.06883881 0.29058848 0.         0.        ],[0.55011951 0.11769115 0.08988258 0.30836552 0.         0.        ]
Macaca_fuscata,"{'S_d': -100000.0, 'b': 0.08055149094173007, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.07904399313786006, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08246694713013943, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.51224079 0.08256167 0.06858628 0.33661126 0.         0.        ],[0.50636555 0.08214241 0.06847525 0.32859664 0.         0.        ],[0.52008138 0.08310273 0.06871433 0.34321504 0.         0.        ]
Macaca_mulatta,"{'S_d': -51890.864381293126, 'b': 0.10456043627933073, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.0948699083728121, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -12882.95789364242, 'b': 0.11819395555521521, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.5545334  0.09538176 0.07487745 0.27520738 0.         0.        ],[0.53682569 0.08547083 0.06866328 0.26831596 0.         0.        ],[0.56741506 0.11126925 0.08485523 0.28219682 0.         0.        ]
Macaca_hecki,"{'S_d': -100000.0, 'b': 0.08837217032855241, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08714231121210007, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08996829402662727, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.54159073 0.08439246 0.06885644 0.30516037 0.         0.        ],[0.53717191 0.08415167 0.06884893 0.29911843 0.         0.        ],[0.54735928 0.08469645 0.06885963 0.31074525 0.         0.        ]
Macaca_leonina,"{'S_d': -100000.0, 'b': 0.08766661720568965, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08651650063062447, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08917182907020481, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.53903132 0.08425306 0.06885447 0.30786115 0.         0.        ],[0.53484695 0.08401882 0.06884457 0.30210725 0.         0.        ],[0.54449338 0.08454939 0.06885959 0.31261151 0.         0.        ]
Macaca_maura,"{'S_d': -100000.0, 'b': 0.08219057407176317, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08082959856279624, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08374165121423527, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.51857487 0.0829992  0.06869021 0.32973572 0.         0.        ],[0.51335674 0.08264484 0.06861121 0.32336003 0.         0.        ],[0.52455195 0.08339316 0.06876777 0.33570882 0.         0.        ]
Macaca_nemestrina,"{'S_d': -100000.0, 'b': 0.09613897461755823, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.0948539274116991, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.09743268546768176, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.5687308  0.08563443 0.06863167 0.2770031  0.         0.        ],[0.56438179 0.08546781 0.06855428 0.27258498 0.         0.        ],[0.573239   0.08579839 0.06870165 0.28149706 0.         0.        ]
Macaca_nigra,"{'S_d': -61914.51111298953, 'b': 0.08643533391843602, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.07809221406244236, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -6602.0051807556665, 'b': 0.10686729866000833, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.49753511 0.09079254 0.07425571 0.33741664 0.         0.        ],[0.47446079 0.08186086 0.06838997 0.3260844  0.         0.        ],[0.5130768  0.1177719  0.09193279 0.34749588 0.         0.        ]
Macaca_radiata,"{'S_d': -81319.37933725788, 'b': 0.07780003640346794, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.07365045783210408, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -19175.14366804662, 'b': 0.08891311788444212, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.48585332 0.08437533 0.07047604 0.35929531 0.         0.        ],[0.46312539 0.08040655 0.06786515 0.350509   0.         0.        ],[0.49810672 0.10392907 0.08391996 0.367711   0.         0.        ]
Macaca_silenus,"{'S_d': -88498.58559624366, 'b': 0.0692287612256209, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.06543925682682106, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -19867.61118468362, 'b': 0.08196597884815122, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.4545751  0.08040225 0.06849529 0.39652736 0.         0.        ],[0.43513253 0.0770677  0.0662878  0.3848928  0.         0.        ],[0.46812782 0.10031317 0.0827192  0.40857064 0.         0.        ]
Macaca_tonkeana,"{'S_d': -100000.0, 'b': 0.09212051969538075, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.09076564945923957, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.09355972466278024, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.55492797 0.08505892 0.06880397 0.29120914 0.         0.        ],[0.55018744 0.08483677 0.06875764 0.28603212 0.         0.        ],[0.5601436  0.08529231 0.06883971 0.29649478 0.         0.        ]
Macaca_arctoides,"{'S_d': -15579.488525311812, 'b': 0.10992346710143082, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -41080.39594106293, 'b': 0.09414361923591548, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -3318.938113167756, 'b': 0.12688683113449692, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.50153352 0.11158026 0.08646803 0.30041818 0.         0.        ],[0.47608374 0.09275411 0.07474999 0.29152414 0.         0.        ],[0.5270848  0.13542713 0.10079277 0.31049598 0.         0.        ]
Macaca_assamensis,"{'S_d': -14944.627470524098, 'b': 0.11512470088903451, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -37255.677863698336, 'b': 0.10032818159960136, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -4109.9717845937585, 'b': 0.1307917172008174, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.52003166 0.11183583 0.08567021 0.2824623  0.         0.        ],[0.49861918 0.09506775 0.07546427 0.27381372 0.         0.        ],[0.53914476 0.13119909 0.09732532 0.29172004 0.         0.        ]
Macaca_leucogenys,"{'S_d': -100000.0, 'b': 0.10000196313766936, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.0986794845199213, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.10128709642754131, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.5815353  0.08606057 0.06836254 0.26404159 0.         0.        ],[0.57721242 0.08593057 0.06825566 0.25990089 0.         0.        ],[0.58652899 0.08620063 0.06846821 0.26843037 0.         0.        ]
Papio_anubis,"{'S_d': -100000.0, 'b': 0.08383082496088479, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08256830692406442, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08522974730569718, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.52481084 0.08340659 0.06876722 0.32301535 0.         0.        ],[0.52005661 0.08310109 0.068714   0.31743308 0.         0.        ],[0.53102417 0.08379358 0.06882361 0.32864042 0.         0.        ]
Papio_cynocephalus_anubishybrid,"{'S_d': -96397.00961065498, 'b': 0.09154448754087176, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08992388445685541, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -70645.49567927899, 'b': 0.09406137367351779, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.55055243 0.08541872 0.06918068 0.29484817 0.         0.        ],[0.5442962  0.08468738 0.0687933  0.28964215 0.         0.        ],[0.55657246 0.09147404 0.07317594 0.29929956 0.         0.        ]
