,match,mismatch,no_data,mismatch_fraction
Homo_sapiens,344259.0,2383.0,6856.0,0.006874527610618448
Gorilla_gorilla,342438.0,2900.0,8160.0,0.008397569917008843
Pongo_abelii,349118.0,4100.0,280.0,0.01160756246850387
