,match,no_data,mismatch,mismatch_fraction
Pan_troglodytes,46398.0,1317.0,308.0,0.00659444182760245
Gorilla_gorilla,46303.0,1363.0,357.0,0.007651093013287613
Pongo_abelii,47139.0,154.0,730.0,0.015249952996720216
