label,x
Homo_sapiens,10993.372772467766
Pan_paniscus,10751.667824842289
Pan_troglodytes_ellioti,1603.570051154659
Pan_troglodytes_schweinfurthii,24893.93794337513
Pan_troglodytes_troglodytes,35331.11936519785
Pan_troglodytes_verus,12591.610488057553
Gorilla_gorilla_gorilla,22538.8943406423
Pongo_pygmaeus,23353.72631341009
Macaca_fuscata,60345.738013990616
Macaca_mulatta,131988.19167007785
Macaca_nemestrina,237669.809709973
Macaca_radiata,66987.34354824113
Macaca_silenus,39178.19022635533
Macaca_arctoides,73611.38858047157
Papio_anubis,27128.87374354207
Papio_cynocephalus_ssp,144345.83721091392
Papio_hamadryas,24133.97524631982
Papio_kindae,39586.40576097461
Theropithecus_gelada,40399.72414629717
Rhinopithecus_bieti,12997.097263551903
Rhinopithecus_roxellana,40291.49873255539
Trachypithecus_poliocephalus,12768.4006904335
