,ID,Genus,Species,FROH,Sex,Reference,Name,Population
315,PD_0718,Papio,hamadryas,0.05687686,M,Papio_anubis,Papio_hamadryas,Papio_hamadryas
316,PD_0719,Papio,hamadryas,0.05129014,M,Papio_anubis,Papio_hamadryas,Papio_hamadryas
317,PD_0720,Papio,anubis,0.01992373,M,Papio_anubis,Papio_anubis,Papio_anubis
318,PD_0721,Papio,anubis,0.02611624,F,Papio_anubis,Papio_anubis,Papio_anubis
319,PD_0722,Papio,anubis,0.00242316,M,Papio_anubis,Papio_anubis,Papio_anubis
320,PD_0723,Papio,anubis,0.01029841,M,Papio_anubis,Papio_anubis,Papio_anubis
321,PD_0724,Papio,anubis,0.03203951,F,Papio_anubis,Papio_anubis,Papio_anubis
322,PD_0725,Papio,anubis,0.05021318,M,Papio_anubis,Papio_anubis,Papio_anubis
323,PD_0726,Papio,anubis,0.00895222,F,Papio_anubis,Papio_anubis,Papio_anubis
324,PD_0727,Papio,anubis,0.03136641,M,Papio_anubis,Papio_anubis,Papio_anubis
325,PD_0728,Papio,anubis,0.01716402,M,Papio_anubis,Papio_anubis,Papio_anubis
326,PD_0729,Papio,anubis,0.02201033,M,Papio_anubis,Papio_anubis,Papio_anubis
327,PD_0730,Papio,anubis,0.03385687,F,Papio_anubis,Papio_anubis,Papio_anubis
328,PD_0731,Papio,anubis,0.00888491,M,Papio_anubis,Papio_anubis,Papio_anubis
329,PD_0732,Papio,anubis,0.03924167,M,Papio_anubis,Papio_anubis,Papio_anubis
330,PD_0733,Papio,anubis,0.04738616,M,Papio_anubis,Papio_anubis,Papio_anubis
331,PD_0734,Papio,anubis,0.03109717,M,Papio_anubis,Papio_anubis,Papio_anubis
332,PD_0735,Papio,anubis,0.01386584,M,Papio_anubis,Papio_anubis,Papio_anubis
333,PD_0736,Papio,anubis,0.02100069,F,Papio_anubis,Papio_anubis,Papio_anubis
334,PD_0737,Papio,anubis,0.01299081,F,Papio_anubis,Papio_anubis,Papio_anubis
