,ID,Genus,Species,FROH,Sex,Reference,Name,Population
498,SAMN01920528,Pan,troglodytes,0.1023799,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
499,SAMN01920529,Pan,troglodytes,0.06567393,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
500,SAMN01920530,Pan,troglodytes,0.02050244,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
501,SAMN01920531,Pan,troglodytes,0.01646809,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
502,SAMN01920532,Pan,troglodytes,0.05879569,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
503,SAMN01920533,Pan,troglodytes,0.00562164,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
504,SAMN01920534,Pan,troglodytes,0.01421943,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
505,SAMN01920535,Pan,troglodytes,0.00509254,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
506,SAMN01920536,Pan,troglodytes,0.03869008,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
507,SAMN01920537,Pan,troglodytes,0.02943092,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
508,SAMN01920538,Pan,troglodytes,0.0365737,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
509,SAMN01920539,Pan,troglodytes,0.03452346,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
510,SAMN01920540,Pan,troglodytes,0.01851833,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
511,SAMN01920541,Pan,troglodytes,0.01540989,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
512,SAMN01920542,Pongo,abelii,0.07092903,F,Pongo_abelii,Pongo_abelii,Pongo_abelii
513,SAMN01920543,Pongo,abelii,0.06583936,F,Pongo_abelii,Pongo_abelii,Pongo_abelii
514,SAMN01920544,Pongo,abelii,0.09840016,F,Pongo_abelii,Pongo_abelii,Pongo_abelii
515,SAMN01920545,Pongo,abelii,0.08097785,F,Pongo_abelii,Pongo_abelii,Pongo_abelii
516,SAMN01920546,Pongo,abelii,0.0732781,M,Pongo_abelii,Pongo_abelii,Pongo_abelii
517,SAMN01920547,Pongo,pygmaeus,0.07808712,F,Pongo_pygmaeus,Pongo_pygmaeus,Pongo_pygmaeus
518,SAMN01920548,Pongo,pygmaeus,0.01311919,F,Pongo_pygmaeus,Pongo_pygmaeus,Pongo_pygmaeus
519,SAMN01920549,Pongo,pygmaeus,0.07752885,F,Pongo_pygmaeus,Pongo_pygmaeus,Pongo_pygmaeus
