,match,mismatch,mismatch_fraction,no_data
Rhinopithecus_bieti,265933.0,45.0,0.00016918692523441788,
Trachypithecus_francoisi,253157.0,3663.0,0.014262907873218596,9158.0
Colobus_guereza,241786.0,4928.0,0.019974545425067082,19264.0
