,match,mismatch,mismatch_fraction,no_data
Rhinopithecus_roxellana,264653.0,36.0,0.00013600867433100734,
Trachypithecus_francoisi,252377.0,3527.0,0.013782512192072027,8785.0
Colobus_guereza,241442.0,4851.0,0.019696053074996042,18396.0
