neutral,selected
3913397.150813174,16026325.719946029
7613.727273635151,13177.990262898127
3872.896945644183,5675.36811897778
2620.1751275364795,3577.041059703541
1919.1057100484293,2540.7740718703444
1458.9084856404268,1901.0837248455898
1171.7376125295564,1473.4726173257457
956.7058005256785,1191.7162287663348
815.6251255056826,992.8764380278393
702.5650789049256,862.229398379459
599.3913921559554,757.3773092588527
504.61496396941675,635.559282523303
423.4728307703261,528.5675447531386
366.5332169984191,453.6494738001849
311.8867790246804,379.4175429446789
274.9397529667942,357.1775050713899
253.71380514281475,337.33243183508245
231.0788701330707,313.16146534111874
216.31371128406394,297.7560531228811
217.7114404037464,293.4747885318798
0.0,0.0
