neutral,selected
3970983.323990871,15817661.51313921
2449.6518909950737,3343.1424765006304
1538.605338715976,1912.4632940508534
1043.8864360964253,1235.8693664622542
732.3994139649373,844.3982341521702
537.538486839231,607.8632871258008
421.93433623992746,463.6454543767219
353.8244903594377,383.81324103032404
311.85379113411784,346.98241656671644
286.99569285172225,332.0177308396425
272.4043863474538,311.19960480635535
220.4091921662072,254.13530471515384
187.21608122574094,204.71874734980818
161.55194614640934,168.4770018664884
143.03777264512334,146.53075802197722
128.5854501242757,130.65202528857304
117.55750882256405,116.9957013986719
105.68627803630885,103.88724674057788
90.72262476669374,86.96635908553631
68.06110837541262,65.48239368771644
0.0,0.0
