,match,mismatch,mismatch_fraction,no_data
Macaca_nemestrina,184002.0,41.0,0.0002227740256353135,
Macaca_mulatta,180872.0,1467.0,0.008045453797596785,1704.0
Papio_anubis,168143.0,3533.0,0.02057946364081176,12367.0
