,match,mismatch,mismatch_fraction,no_data
Macaca_nemestrina,177532.0,35.0,0.0001971086969988793,
Macaca_mulatta,174625.0,1307.0,0.0074290066616647344,1635.0
Papio_anubis,162241.0,3469.0,0.02093416209039889,11857.0
