,match,no_data,mismatch,mismatch_fraction
Homo_sapiens,42304.0,755.0,314.0,0.007367778872776761
Gorilla_gorilla,42070.0,967.0,336.0,0.007923407065037967
Pongo_abelii,42717.0,,656.0,0.015124616697023493
