,match,mismatch,mismatch_fraction,no_data
Hylobates_pileatus,23799.0,1.0,4.201680672268908e-05,
Nomascus_leucogenys,22556.0,140.0,0.006168487839266831,1104.0
Homo_sapiens,22929.0,388.0,0.016640219582279025,483.0
