,match,mismatch,no_data,mismatch_fraction
Homo_sapiens,339714.0,2294.0,7136.0,0.006707445439872751
Gorilla_gorilla,337836.0,2898.0,8410.0,0.008505168254415468
Pongo_abelii,345259.0,3885.0,,0.011127213986206265
