,match,no_data,mismatch,mismatch_fraction
Hylobates_pileatus,11181.0,950.0,93.0,0.008249068653539117
Nomascus_leucogenys,11581.0,528.0,115.0,0.009832421340629276
Homo_sapiens,11602.0,376.0,246.0,0.02076299797434166
