neutral,selected
4083205.0048605567,15889873.874325316
3250.592915083316,6331.851296782128
1308.9833812618995,2063.313806802195
894.9585378155375,1311.7640005677638
694.8171166581434,968.9971898828545
571.1097713800509,767.0052539981751
483.2895586820217,632.8815093905516
420.73364806510386,535.2198286746869
378.33366351930704,472.125602222772
347.06131097450356,429.8222108187823
324.1890472435025,393.9498821994894
303.34773550933244,362.67524412357824
282.12360847256696,331.6853259087469
260.36261225569274,301.04721696442544
239.97986305857006,275.45407104237637
222.2518695734413,256.56633008611135
204.72172548782837,241.17948992544393
185.72254555588648,219.1236475981494
163.52815605662926,195.42305092692774
131.1175382395516,163.81125131975068
0.0,0.0
