neutral.Macaca_fuscata,selected.Macaca_fuscata,neutral.Macaca_mulatta,selected.Macaca_mulatta,neutral.Macaca_nemestrina,selected.Macaca_nemestrina,neutral.Macaca_radiata,selected.Macaca_radiata,neutral.Macaca_silenus,selected.Macaca_silenus,neutral.Macaca_arctoides,selected.Macaca_arctoides
3894205.002269828,15725992.002928069,4005057.7268889854,15636929.822869211,3910864.546531375,15758577.079373548,3894343.813330276,15798664.57651466,3891015.2848325735,15771954.902741589,3894912.807332216,15737332.192667782
14459.465766577474,20134.931980934296,11892.186407680914,15649.111237383911,7825.226387576658,9941.700052122864,1279.6135797129818,1880.343890260206,4369.271443588088,7790.421406979131,9371.50302696228,14438.478998422624
6809.892067314292,8818.545271696443,4754.361085415593,5474.553398330751,2795.653594981059,3100.448185541265,580.8189371053851,815.0936457475177,2247.339221495063,3537.1098033640405,4358.812852501869,5859.345556735992
3776.2266393041377,4673.657437200971,2721.113896844585,2987.505405271182,1414.3986292125026,1477.7677180755811,346.8247551950141,434.3860126472893,1550.026110966927,2283.00220282326,2790.312737703324,3215.724789381027
2311.80056014578,2789.9139908646275,1786.773008850838,1910.16321610223,846.0795120548232,855.7212268104741,272.3617145533365,341.43196134314945,1172.2647298831948,1666.960498288906,3337.2157195806503,3688.207567512989
1542.672906904603,1841.3770920891025,1268.7295099759842,1333.9442349954336,563.0277950090928,573.8647991858455,225.5812191829188,293.5165982406378,934.6789632640111,1310.3412566320112,1248.4380971193314,1486.4449064135551
1117.1055206946055,1336.022758533459,950.3768986674032,993.164826636436,403.9157455060042,421.9824416387272,187.31278699100176,250.7952584747753,775.8844651880058,1064.0553352845554,1125.7390267252922,1254.5564540028572
872.3689152042303,1058.9178044817668,742.3381091510041,780.4309046547593,307.4073790091093,333.9599856909339,160.67825747495047,213.3445890477212,661.884041634366,898.987416476951,933.3094680905342,1044.2491240501404
724.2754999889112,908.134370152644,600.93414762339,640.7370208696167,251.5890676710716,278.2861415246036,142.1820906197455,186.40026725202264,601.58751862828,851.6730333399049,824.1550192832947,960.1420119404792
626.0822446536135,813.9930305434191,501.7419100961023,542.9581121567854,211.5999153447312,236.0638647675105,137.23465554345043,180.3081694057864,582.8501839712261,892.0774322638475,846.1178956031799,889.0910558700562
553.5460264906777,735.5382131465847,430.0689227696842,469.4882597717354,180.1059301255524,201.87430461297785,138.9248447204968,193.20662525879905,559.1740387998647,897.5489284287901,873.9999999999999,953.0
493.059244552673,656.0297198592833,376.9547662057289,411.15785383261857,149.7525208955863,168.0744648707698,118.44354886083995,152.5714278085932,450.8854323720122,683.7328258117448,689.8821043968201,742.9089441299438
441.72441268725794,576.1424784253762,336.72662437582073,364.1577296304788,125.231681030382,139.38880812914422,111.22212545403596,134.0215848089602,366.7032958723093,519.4475916464661,653.8449807167053,726.8579880595207
399.0583015311236,507.22021989655417,305.21072540853544,326.685931501617,105.5649912657212,116.9645008924124,115.1178826168413,129.04831949301277,313.65602415016343,423.7905331510578,659.6905319094657,682.7508759498595
366.9055580649191,456.5516731783285,278.71878105566884,297.0346234450868,90.59386734063708,101.65196099610604,111.77936433593182,117.53753337105957,281.6441830511288,372.9703289025837,658.2609732747078,690.4435459971428
342.4857463712776,418.4009707935125,254.01403287675552,273.4930169993302,77.4512482533397,89.31156104131088,103.81600388387066,108.68339307239918,260.9903944437597,323.4726158791373,691.5619028806686,671.5550935864449
322.4071842210783,389.22634832640347,229.09348517183872,252.8907448169601,65.57548206037487,77.00973547898386,92.98272940849836,110.41895875124636,242.2485927752532,285.1558196364563,1288.7842804193497,1313.792432487011
303.5451706587192,362.2249441883373,203.78825627231535,231.9882190773577,55.32837194218612,65.07861587113139,79.01828437411368,95.58065836285898,215.6799576685304,251.43422471551187,443.68726229667664,442.2752106189727
280.5905459984492,330.8047098183501,178.48946597712816,207.26452521430076,46.67037383132463,54.136869383078086,76.51628853853697,88.19621945974683,177.59516905033647,209.3790794132735,339.18714749813074,351.6544432640075
241.378923046688,280.7705535645865,150.87586610779965,173.22508058072364,36.84979114014318,43.06657419422347,121.4166407911649,134.8793328934624,126.98512921411891,146.9031967832802,237.49697303771973,241.5210015773773
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
