neutral.Macaca_cyclopis,selected.Macaca_cyclopis,neutral.Macaca_fuscata,selected.Macaca_fuscata,neutral.Macaca_mulatta,selected.Macaca_mulatta,neutral.Macaca_hecki,selected.Macaca_hecki,neutral.Macaca_leonina,selected.Macaca_leonina,neutral.Macaca_maura,selected.Macaca_maura,neutral.Macaca_nemestrina_nemestrina,selected.Macaca_nemestrina_nemestrina,neutral.Macaca_nemestrina,selected.Macaca_nemestrina,neutral.Macaca_nigra,selected.Macaca_nigra,neutral.Macaca_radiata,selected.Macaca_radiata,neutral.Macaca_silenus,selected.Macaca_silenus,neutral.Macaca_tonkeana,selected.Macaca_tonkeana,neutral.Macaca_arctoides,selected.Macaca_arctoides,neutral.Macaca_assamensis,selected.Macaca_assamensis,neutral.Macaca_leucogenys,selected.Macaca_leucogenys
4074342.884848485,15582711.115151515,3906680.428167661,15742873.815487277,3962835.893251384,15632415.645668425,3866301.790585658,15762179.742747676,3977362.225971048,15638468.251840033,3988382.98813375,15642284.31984715,3844091.2246160735,15738569.930939496,3875629.7772171153,15703312.188394943,3916242.9559031175,15738021.044096883,3847712.559785312,15805428.038983071,3894825.188240132,15777994.527679984,3855754.977438306,15742566.65586174,3915750.975791266,15714225.916878156,3932987.72221112,15675175.03334443,3803161.9344329056,15815473.065567097
6327.032071650028,7669.374040484428,12536.65189349642,16558.692016612837,26980.15928824017,31884.390457015492,17660.842957691144,22761.837133848567,17663.499486944478,21427.06298270468,14345.16505253127,18620.25614226901,34477.76123620746,39497.635245622165,35598.52665987612,41125.44859448162,9540.944735586643,13051.73931634426,7524.0798999344515,10768.423181295324,4588.300996642756,7439.994494568017,29953.029470953195,37003.26166807566,13443.223686407424,18237.08560574036,23921.814580400005,30477.76422738028,18722.987742602825,21694.027881264687
5109.1456823349,5911.64024502039,4563.368758472314,5641.67446761248,9763.125524514408,10459.521700428562,6696.374925926328,7817.157964259043,8542.619981031488,9999.348970139474,7001.203103765674,8590.344449208262,10850.22415611229,11079.353095461494,10636.170015901522,11239.037916299976,4675.941536426544,5953.970110118389,3784.953024229806,5054.528978414748,2393.758099609986,3543.9293725894377,7509.70085390214,8708.602119507284,6254.876198779022,7483.482347066937,8270.167932451877,9250.782578122218,9689.030189096928,10005.317932844162
3774.3932968974113,4211.8284704089165,2275.981534128762,2809.4814020159674,5171.599886723888,5457.622417777804,3492.540377284552,4054.7136374939114,3847.9066656032064,4679.8029971551605,4090.6090874197857,4964.756844883702,5028.227574957727,5209.144593779255,5012.324270873722,5399.122391302817,2778.210040807724,3307.338316142559,2823.2603483119738,3776.048584980893,1664.876311457661,2483.03093338554,3402.7792319335167,4117.727754488086,3747.037881515777,4395.012640348928,4250.910975698776,4759.082173719905,5287.906541824341,5385.324577331543
2790.0,3244.0,1455.7605793688756,1849.0265601584072,3281.7288668917417,3479.404798974545,2334.8888888889337,3077.777777777961,2722.9090909094243,3370.104118104829,2724.9961149963865,3470.433566434132,3013.5555555557457,3316.666666666916,2974.3233080899145,3328.2980582947644,1992.0,2508.0,2371.4776861775727,3179.859775049418,1268.3584133186116,1927.5869829318851,2205.413364413096,2908.254467754195,2760.9290716162886,3199.061692177498,2776.333333333419,3177.44444444463,3269.0,3563.0
1841.6067031025889,1892.1715295910835,1082.7705554125923,1385.1404634417408,2348.693456597685,2504.3618538079286,1450.6374004933816,1729.5085847285377,2883.691003394271,3294.555821803513,1815.0889700784185,2201.1886096617086,1818.483536153312,2001.2554062206927,1959.4418103825608,2226.220875094204,1183.789959192276,1386.661683857441,1952.5314003247488,2472.656235819127,947.0562016249854,1387.6341096022322,1580.3759351218114,2013.01288265264,2456.462570491785,2707.628585916881,1853.4223576346772,2087.673381835841,1783.0934581756592,1887.675422668457
1111.8543176651,1157.3597549796104,871.298720892141,1088.4691047219142,1804.8698143757435,1940.6204639037717,1014.758407407426,1173.2420357413405,2768.705271493318,2994.783430792188,1288.2526848917223,1518.9665065048894,1230.8425105545202,1384.6691267609613,1340.0004996265452,1526.1137405313311,785.0584635734558,866.0298898816109,1595.227222458807,1864.620408305028,701.4576267890868,941.0001098533882,1320.6280505273278,1605.622822218484,2349.063591599722,2486.0236870787726,1260.4987342145537,1389.1063107662608,1094.9698109030724,1083.682067155838
594.9679283499718,580.6259595155716,723.3332948067665,874.1069939248539,1405.4846670568977,1536.8778838817818,721.0903756433664,803.096199483463,1569.3333246894776,1675.199044154613,898.4080854436279,1073.0228010117266,806.3054304454181,894.7203099330454,913.7138101076724,1049.2924370788417,459.0552644133568,517.2606836557388,1399.2113479297732,1562.523138387274,517.637839013718,645.662588496966,1191.1148069841151,1428.8432714217536,1836.2981438094712,1936.9216280291048,763.5854196020205,868.6579948440952,553.0122573971748,615.9721187353134
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
