,match,mismatch,mismatch_fraction,no_data
Saguinus_oedipus,450144.0,244.0,0.0005417551089283018,
Callithrix_jacchus,267488.0,12465.0,0.0445253310377099,170435.0
Aotus_nancymaae,167172.0,7438.0,0.04259778935914323,275778.0
