neutral,selected
4047202.275598891,15925384.120009558
1405.5790472109143,2396.894325662172
1048.8267896545917,1663.391874678082
887.1082972822564,1354.049960861297
809.8868004862518,1181.107383693065
755.3052181744513,1068.6232358141845
706.370523489063,986.4047601954413
656.7971726727328,913.4729967378908
617.1968467512081,850.8219772599432
584.3447843481746,791.9338696497878
551.1990831015719,730.0269665774372
519.5679253285971,658.7240894869625
488.44956450353567,601.3478959670831
455.8417078634945,552.9952577243351
423.56952186286077,508.2557764108284
390.00050726633697,467.62209737427514
351.83666181052683,424.3169380180809
303.16891235198926,369.3845372432368
241.08839705110097,305.8473509429435
166.14075068052986,226.1045853641271
0.0,0.0
