neutral,selected
7948994.876138364,31288427.821073186
33168.795633605885,42235.33600518639
13237.011719918082,14873.896107901443
7598.634507277468,8188.135748328139
5009.6161075746395,5281.779877136423
3571.535043732155,3726.8128507154647
2683.087393510112,2798.999334825692
2097.9541969149172,2203.6639737418764
1697.1808027437069,1799.1853959604632
1414.9984539863942,1511.1596629742028
1211.65816613008,1297.7723400984642
1061.7293854560157,1134.6125926099203
947.5051846136887,1007.6383761188455
855.7591150861584,907.7024774437593
777.0605292528256,827.0586787879635
705.7982857768997,758.7663687575981
639.2578171746967,696.2000956599862
575.195579184986,634.6898829341382
508.3206403991939,567.4576170892001
427.3385126657476,478.99832717856765
0.0,0.0
