neutral,selected
8209198.096267369,31991605.621029027
25708.00943473959,37490.94801790229
7577.772864336029,10881.038626231375
3684.1448479705455,5154.650715425033
2150.468809632795,2979.41439292303
1419.6287138355453,1967.9167729217945
1032.230380683947,1446.9124756293668
815.8064816761515,1161.9586752960884
699.0527537431952,1006.1239435514267
648.1373471777218,931.5139909747579
640.725461220752,909.008209518687
653.9752850243483,909.1381569893795
663.3901352507193,901.0579536649383
651.237527356921,863.6088551167887
613.5268674977109,794.9692181340241
559.1482380945424,710.1866452476008
502.2786876789032,628.398266088854
453.4586597067373,561.3617585730569
415.638718405001,512.7574071754262
408.7126994143778,500.9747087990154
0.0,0.0
