neutral,selected
4035930.686396696,16086593.200184606
4992.993454292534,9934.030150756837
2386.51829434224,4271.832935416451
1485.3111147712714,2524.489076594936
978.0557703511337,1599.3742145112367
676.8699509411571,1093.509121564469
510.5542976598486,822.311901433537
388.03434954313934,636.9343396901755
314.4917368195497,514.2594000650992
251.68732789818054,420.3713567772411
211.25307488344936,342.0429121204918
191.48986444755482,305.870358478567
172.04002662424182,270.24457686697565
157.22251683209123,239.19740436550134
150.81972336514875,222.09349920152357
140.37296630881954,216.94881087294877
139.16207580996075,204.71970944461344
126.9164141530854,186.46679738693655
125.25700266366742,176.304258368776
110.59344741219189,191.4691856635586
0.0,0.0
