neutral.Homo_sapiens,selected.Homo_sapiens,neutral.Pan_troglodytes,selected.Pan_troglodytes,neutral.Pan_paniscus,selected.Pan_paniscus,neutral.Pan_troglodytes_ellioti,selected.Pan_troglodytes_ellioti,neutral.Pan_troglodytes_schweinfurthii,selected.Pan_troglodytes_schweinfurthii,neutral.Pan_troglodytes_troglodytes,selected.Pan_troglodytes_troglodytes,neutral.Pan_troglodytes_verus,selected.Pan_troglodytes_verus,neutral.Gorilla_gorilla,selected.Gorilla_gorilla,neutral.Gorilla_beringei,selected.Gorilla_beringei,neutral.Gorilla_gorilla_gorilla,selected.Gorilla_gorilla_gorilla,neutral.Pongo_pygmaeus,selected.Pongo_pygmaeus,neutral.Macaca_fuscata,selected.Macaca_fuscata,neutral.Macaca_mulatta,selected.Macaca_mulatta,neutral.Macaca_nemestrina,selected.Macaca_nemestrina,neutral.Macaca_radiata,selected.Macaca_radiata,neutral.Macaca_silenus,selected.Macaca_silenus,neutral.Macaca_arctoides,selected.Macaca_arctoides,neutral.Papio_anubis,selected.Papio_anubis,neutral.Papio_cynocephalus_ssp,selected.Papio_cynocephalus_ssp,neutral.Papio_cynocephalus,selected.Papio_cynocephalus,neutral.Papio_hamadryas,selected.Papio_hamadryas,neutral.Papio_kindae,selected.Papio_kindae,neutral.Papio_papio,selected.Papio_papio,neutral.Theropithecus_gelada,selected.Theropithecus_gelada,neutral.Rhinopithecus_bieti,selected.Rhinopithecus_bieti,neutral.Rhinopithecus_roxellana,selected.Rhinopithecus_roxellana,neutral.Trachypithecus_poliocephalus,selected.Trachypithecus_poliocephalus
4188942.9087379696,16438555.238385277,4079950.273766112,15960646.443530278,4035930.686396696,16086593.200184606,4098184.8808896695,16055780.119110333,4188642.759713632,15886987.583073111,4158041.485269477,15882996.66141506,4120201.3092259215,15994057.161069924,3989435.8633366018,16490036.43386005,4120169.150764276,16403376.787942331,4055701.302644068,16423871.763232024,3830165.812121126,15205148.353568705,3894205.002269828,15725992.002928069,4005057.7268889854,15636929.822869211,3910864.546531375,15758577.079373548,3894343.813330276,15798664.57651466,3891015.2848325735,15771954.902741589,3894912.807332216,15737332.192667782,3844750.572915436,15944637.715044212,3905108.264618193,15878493.12816814,3997548.895215454,15668468.301969258,3836820.905430209,15960709.94514166,3970983.323990871,15817661.51313921,3804345.466169273,16001036.93325626,3877564.23324363,15343148.281203574,4161854.1526743504,16077756.366506858,4069288.1040728767,16139416.727519048,3990477.499462202,16240088.139254153
4455.817185669009,9136.12821181803,25708.135736759392,37491.08276890604,4992.993454292534,9934.030150756837,509.387074649334,1032.545755982399,10439.88530864325,18475.740582692957,20688.40407286272,33173.02146884939,4946.000509928536,9071.141521890237,8439.091876614058,14937.46768817146,2008.2942484311625,3556.168624239083,8107.56236452858,14678.586564486748,7175.988978382447,13015.849965079502,14459.465766577474,20134.931980934296,11892.186407680914,15649.111237383911,7825.226387576658,9941.700052122864,1279.6135797129818,1880.343890260206,4369.271443588088,7790.421406979131,9371.50302696228,14438.478998422624,3236.6240290708047,4511.943133811667,4323.153591624622,5709.197083123734,24456.21834633149,31318.51179825932,1130.0069992452409,1607.417439924622,2449.6518909950737,3343.1424765006304,241.3352427380637,397.1059892170216,4220.830225401998,6566.315509461406,1602.3934738839898,1678.921566976019,11442.052962835878,11060.125817812446,1196.2133343261462,2090.6621913627764
1786.6918051406444,3028.4097224685406,7577.86491815188,10881.141858715013,2386.51829434224,4271.832935416451,253.8697025775909,497.17731523513794,5354.797194070047,8146.71745386239,9051.050757147785,12549.506835963788,2453.804986394512,4253.524199440237,5078.936598126971,8024.456751776391,1497.749254007305,2479.6685417712706,4938.741021383421,7862.449399272164,3551.303215727329,5401.501799173712,6809.892067314292,8818.545271696443,4754.361085415593,5474.553398330751,2795.653594981059,3100.448185541265,580.8189371053851,815.0936457475177,2247.339221495063,3537.1098033640405,4358.812852501869,5859.345556735992,1415.4779797172366,1790.3270255245834,1786.6311334335703,2109.807709749548,10025.00997171853,11771.2187727623,649.32699587464,882.7839903916628,1538.605338715976,1912.4632940508532,139.77024935242233,226.93826970925488,2524.502104161154,3564.152464699828,618.1861477318765,938.3844621029828,2451.3338715007235,3657.6209383085534,946.9536882086592,1594.0521545945414
1219.312987972252,1944.191154113852,3684.209622152402,5154.730845213778,1485.3111147712714,2524.489076594936,187.50715744495392,297.0009386539459,3634.263590361192,5164.1737390313565,5034.524406267962,6653.732932270347,1740.1916006770923,2918.6836203824214,3567.6326131930423,5345.491981594578,1268.393381559589,2055.2798871288046,3588.4135530151025,5413.019385767157,2537.102348117612,3587.343235190145,3776.2266393041377,4673.657437200971,2721.113896844585,2987.505405271182,1414.3986292125026,1477.7677180755811,346.8247551950141,434.3860126472893,1550.026110966927,2283.00220282326,2790.312737703324,3215.724789381027,857.372983696005,1022.627480014444,1026.7159950956593,1152.3849125779025,5799.901543786372,6548.736180748298,453.2237271236301,591.5230995109333,1043.886436096425,1235.8693664622542,112.27338834010682,169.4315548692283,1754.2198212060791,2357.732336872971,460.349053461548,748.6839472602971,1675.3665509998211,2419.933196374893,734.181845952925,1262.9073834200235
949.9293222118308,1451.6858799220292,2150.515590777548,2979.475870962258,978.0557703511336,1599.3742145112367,145.09100687503815,257.0117779970169,2677.788040095182,3655.379615587478,3189.200867136964,4120.446478160456,1276.6285084226204,2100.274790646224,2673.603514580019,3879.7922793255743,1151.5083457832077,1801.944092935816,2753.5783852099044,3967.004956389604,1985.3142709248368,2797.505191506956,2311.80056014578,2789.9139908646275,1786.773008850838,1910.16321610223,846.0795120548232,855.7212268104741,272.3617145533365,341.43196134314945,1172.2647298831948,1666.960498288906,3337.2157195806503,3688.207567512989,594.7120812241877,688.3078092765165,697.9286696569645,768.3926240688701,3988.9801610308177,4415.70897536563,351.38593678738744,437.3158338912042,732.3994139649373,844.3982341521702,95.49529632642265,125.73321425299582,1382.6723785595195,1787.137613221858,401.7481106697595,628.0375946494432,1255.5157630265933,1735.970144160711,601.3570845615433,961.2781899086204
784.8326674362178,1157.606674871119,1419.662262495891,1967.9621773303445,676.8699509411571,1093.509121564469,123.15150493383408,228.8681756258011,2042.796606961658,2748.8707542824286,2163.424117979657,2805.3673470209665,963.8739601144478,1566.5058335499575,2098.406817823489,2977.79756082061,1070.6448339177762,1616.8986027752956,2176.587506708695,3060.3619640134075,1734.3497858402714,2283.097990610308,1542.672906904603,1841.3770920891025,1268.7295099759842,1333.9442349954336,563.0277950090928,573.8647991858455,225.5812191829188,293.5165982406378,934.6789632640111,1310.3412566320112,1248.4380971193314,1486.4449064135551,444.8744851069024,508.63503633949153,525.1199439805857,571.7592827843895,3019.453558372052,3322.115246398547,281.57788035486806,343.9136604571234,537.538486839231,607.8632871258008,89.71443989666119,107.83459112544706,1135.0831942056525,1446.6880768501226,371.1171001720091,577.868962913416,964.5512365236976,1318.6916354439566,657.290253107416,985.0173537716998
669.471765655043,961.8250396545797,1032.2530148595722,1446.944928317286,510.5542976598486,822.311901433537,121.5407504439354,210.79379242658612,1621.5408139570552,2167.5339988811206,1577.2550635620207,2032.8057199263112,755.779974703259,1218.5524865215953,1709.3070856361585,2384.493457206786,988.5774057606674,1488.151881629845,1772.7744729479973,2462.527529193331,1513.7510099568103,1942.1004600005408,1117.1055206946055,1336.022758533459,950.3768986674032,993.164826636436,403.9157455060042,421.9824416387272,187.31278699100176,250.7952584747753,775.8844651880058,1064.0553352845554,1125.7390267252922,1254.5564540028572,350.66124682903626,404.461389434318,423.80705832525007,461.3563434779432,2438.8854162843795,2711.668724269496,234.46233905861385,283.8560656224072,421.93433623992746,463.6454543767219,79.81975611284594,96.2511274580287,945.6241938356924,1200.505830275043,364.01709925701647,553.6174426082782,754.4436729828551,1013.6366357314326,1000.7755549216035,1389.9429840027378
588.0772803871696,820.5091714658009,815.8199839883838,1161.9810161666176,388.03434954313934,636.9343396901755,115.1790092587471,184.11024379730225,1324.9992616388265,1737.1496756775732,1213.6946069339886,1559.1677932611287,623.06086658881,987.8858326794016,1434.9260144494776,1978.347401998102,915.4067220886903,1374.5294257179207,1485.9742727789655,2051.111370787473,1381.351207026683,1714.0148163932404,872.3689152042303,1058.9178044817668,742.3381091510041,780.4309046547593,307.4073790091093,333.9599856909339,160.67825747495047,213.3445890477212,661.884041634366,898.987416476951,933.3094680905342,1044.2491240501404,285.9538555434592,341.4322639143888,360.904125341178,399.9237341960323,2074.12412597644,2364.5586580032164,201.72087528898373,249.7674601658233,353.8244903594377,383.813241030324,75.92984103287473,87.33050966887677,816.0378787361396,1021.5492023999144,362.77900952201486,545.7088100112272,605.4836427038359,812.3520423557187,1149.0958298729872,1552.7772562193825
529.5219992197091,720.8180332568709,699.0591816417661,1006.1380045789384,314.4917368195497,514.2594000650992,85.43237096071243,161.79677313566208,1116.2171934825567,1436.3435924775408,981.8504997367992,1261.2702941669345,534.8744050694377,823.0167289483852,1230.2689269231753,1681.9577537782263,856.6178325074872,1286.325320149274,1264.554461591856,1733.2467241690367,1219.0373253886644,1494.9418619840137,724.2754999889112,908.134370152644,600.93414762339,640.7370208696167,251.5890676710716,278.2861415246036,142.1820906197455,186.40026725202264,601.58751862828,851.6730333399049,824.1550192832947,960.1420119404792,242.5571742169294,299.90404564128795,318.67829124532403,363.4132480636721,1833.8089530528864,2147.670521618062,188.8572090736108,237.2865627254763,311.85379113411784,346.98241656671644,74.12053717898526,88.20793180857682,727.6523975256067,913.7382701634372,366.8832306669977,565.5954476616699,505.7527613991904,685.3266565983197,724.6778252086698,1002.8999144146052
484.1260087170584,647.6717356965607,648.139805510804,931.5207825545286,251.6873278981805,420.3713567772411,93.6444965004921,144.60799449682236,959.0556163868956,1235.762978658232,804.6731426842496,1063.9352711156266,474.56337392132536,718.1642289334477,1069.266109621975,1454.8716917318054,810.9173592610586,1198.2711046788947,1097.1577150824694,1494.7662928754037,1096.1387994148415,1377.4982084087262,626.0822446536135,813.9930305434191,501.7419100961023,542.9581121567854,211.5999153447312,236.0638647675105,137.23465554345043,180.3081694057864,582.8501839712261,892.0774322638475,846.1178956031799,889.0910558700562,209.9560853485336,270.1092483584981,287.19621332809834,334.65453849417304,1645.009389070019,1967.2378080738024,186.8569219934178,240.84936902068367,286.99569285172225,332.0177308396425,81.11764122646704,118.34065190852442,664.1450141278825,838.8362435725313,358.0953214495136,594.2548264182335,429.7309889407208,592.5931458314594,439.3836161752502,705.2065612800031
