neutral,selected
3877564.23324363,15343148.281203574
4220.830225401998,6566.315509461406
2524.502104161154,3564.152464699828
1754.2198212060791,2357.732336872971
1382.6723785595195,1787.137613221858
1135.0831942056523,1446.6880768501226
945.6241938356924,1200.505830275043
816.0378787361396,1021.5492023999145
727.6523975256067,913.7382701634373
664.1450141278825,838.8362435725313
611.9532507689572,772.8413617504126
566.7320752129347,694.5501558402323
522.8627218340159,617.3827842077236
496.39130214992684,558.2567595952042
480.53547200892035,517.7830441596689
460.3775605672385,483.47775004187395
426.8103229015926,436.94431111040115
369.4771364055662,379.62507252198975
308.46941835684976,317.627427613956
245.31227798878086,246.65259248600825
0.0,0.0
