label,x
Homo_sapiens,0.3870446578408314
Pan_paniscus,0.4251649077407149
Pan_troglodytes_ellioti,0.3743972422135898
Pan_troglodytes_schweinfurthii,0.3564701276031026
Pan_troglodytes_troglodytes,0.34816214777160487
Pan_troglodytes_verus,0.40307611100133395
Pan_troglodytes,0.35610255775512994
Gorilla_gorilla,0.37054815280887954
Gorilla_beringei,0.3569082315645997
Gorilla_beringei_beringei,0.3570433962011627
Gorilla_beringei_graueri,0.3623284264375397
Gorilla_gorilla_gorilla,0.3697445654542953
Pongo_abelii,0.35463405539550685
Pongo_pygmaeus,0.36065415938244055
Macaca_cyclopis,0.2861687042131618
Macaca_fuscata,0.31894961699727553
Macaca_mulatta,0.2775504259879547
Macaca_hecki,0.30688098252958634
Macaca_leonina,0.3036334946797435
Macaca_maura,0.3211941826186657
Macaca_nemestrina_nemestrina,0.2679943199476093
Macaca_nemestrina,0.28168260540178136
Macaca_nigra,0.31669727688631605
Macaca_radiata,0.3274246218074034
Macaca_silenus,0.38243121765559074
Macaca_tonkeana,0.3044880802825448
Macaca_arctoides,0.3058860752833994
Macaca_assamensis,0.2988631927319948
Macaca_leucogenys,0.2631044126554538
Papio_anubis,0.3063584813010093
Papio_cynocephalus_anubishybrid,0.29251846318300884
Papio_cynocephalus_ssp,0.2963258008547677
Papio_cynocephalus,0.29957007966476173
Papio_hamadryas,0.30355211117312764
Papio_kindae,0.28335391648379454
Papio_ursinus,0.2944839806574256
Papio_ursinus_ssp,0.2977306521460822
Theropithecus_gelada,0.3322739319547801
Erythrocebus_patas,0.29810431124537373
Rhinopithecus_bieti,0.39600215429461794
Rhinopithecus_roxellana,0.3434659900210693
Semnopithecus_hypoleucos,0.28866342886842167
Trachypithecus_francoisi,0.37556277778504904
Trachypithecus_poliocephalus,0.39826191253598486
