neutral,selected
4188942.9087379696,16438555.238385277
4455.817185669009,9136.12821181803
1786.6918051406444,3028.4097224685406
1219.312987972252,1944.1911541138522
949.9293222118307,1451.6858799220292
784.8326674362178,1157.6066748711187
669.471765655043,961.8250396545797
588.0772803871696,820.5091714658009
529.5219992197091,720.8180332568709
484.1260087170584,647.6717356965607
451.12352335856195,586.8274333546607
421.1389164388132,536.8510488876151
392.3417923342526,494.9558055458378
361.3913950501143,455.588021326563
330.5665897786286,422.234196552806
303.84067347431335,392.6665106636995
280.40243105140576,361.5838677027931
254.26316370014308,326.97857897210645
223.64660324912668,291.6419583669116
180.67255056650956,246.51117070102381
0.0,0.0
