neutral,selected
8061644.352345049,31415709.196467783
23601.904836528745,30221.099019969748
9846.9821252454,11576.126416990679
5756.879658486009,6501.867185155445
3983.0969698855474,4405.336061408253
3021.9808140974415,3321.1559830816796
2441.2269396282945,2713.3574827349985
2075.823052330794,2368.6602138954777
1835.5379432145037,2158.2399962430154
1650.9487602529196,1985.3228228783757
1475.5004762862275,1778.9936306902925
1300.1462977173069,1532.7668700377567
1139.4093965206964,1283.5872144049556
1010.3836692370751,1076.8414096389206
920.9729632334618,933.614017602577
869.1789682405454,848.5175674085292
842.8635120969789,807.9729354409542
837.7671836276123,803.5893055905815
854.021933290372,836.1925770337592
885.7590239234854,895.8259531184558
0.0,0.0
