,no_data,match,mismatch,mismatch_fraction
Papio_anubis,4921.0,73145.0,999.0,0.013473780750971083
Macaca_mulatta,2653.0,75111.0,1301.0,0.017026121551588756
Allenopithecus_nigroviridis,5527.0,71660.0,1878.0,0.025537817182953032
