neutral,selected
3926229.9130942747,15989002.758503499
18629.033164363984,26185.073702951096
5448.816798467408,7500.877710252944
2659.190200395373,3559.95179202899
1557.371934638929,2060.70994045014
1027.7086524056544,1363.2230063300833
743.0102295007265,1001.0930717509922
581.6771264877337,798.6813224723095
493.65239638898026,684.9820872574187
455.1954364137582,629.9429326338693
449.74686471122436,614.5481411482901
460.10954300379274,617.6614168392302
468.82886929155296,616.669785644952
463.68243503196743,596.3945232701988
442.29605783446345,556.0877126077149
410.9538987076659,507.32041694226734
378.32434143108975,464.8414996564347
349.55551334302686,438.59655482608895
325.8416511338831,433.15751108036136
325.99360593454793,466.52655459788974
0.0,0.0
