,match,mismatch,no_data,mismatch_fraction
Macaca_thibetana,234142.0,1548.0,3266.0,0.0065679494250922826
Macaca_nemestrina,230706.0,1609.0,6641.0,0.006925941071390138
Papio_anubis,218450.0,4115.0,16391.0,0.01848898074719745
