,match,no_data,mismatch,mismatch_fraction
Macaca_thibetana,97531.0,1742.0,689.0,0.0070148645896966
Macaca_nemestrina,96508.0,2767.0,687.0,0.007068264828437676
Papio_anubis,90344.0,7744.0,1874.0,0.02032141230562363
