label,x
Homo_sapiens,11000
Pan_paniscus,8000
Pan_troglodytes_troglodytes,15300
Pan_troglodytes_schweinfurthii,14000
Pan_troglodytes_verus,8000
Pan_troglodytes_ellioti,12700
Pongo_pygmaeus,15500
Pongo_abelii,21000
Gorilla_gorilla_gorilla,14800
