,match,mismatch,mismatch_fraction,no_data
Trachypithecus_geei,45648.0,15.0,0.00032849352867748505,
Semnopithecus_entellus,45648.0,15.0,0.00032849352867748505,
Colobus_guereza,39031.0,1573.0,0.038740025613240074,5059.0
