neutral.Homo_sapiens,selected.Homo_sapiens,neutral.Pan_troglodytes,selected.Pan_troglodytes,neutral.Pan_paniscus,selected.Pan_paniscus,neutral.Pan_troglodytes_ellioti,selected.Pan_troglodytes_ellioti,neutral.Pan_troglodytes_schweinfurthii,selected.Pan_troglodytes_schweinfurthii,neutral.Pan_troglodytes_troglodytes,selected.Pan_troglodytes_troglodytes,neutral.Pan_troglodytes_verus,selected.Pan_troglodytes_verus,neutral.Gorilla_gorilla,selected.Gorilla_gorilla,neutral.Gorilla_beringei,selected.Gorilla_beringei,neutral.Gorilla_beringei_beringei,selected.Gorilla_beringei_beringei,neutral.Gorilla_beringei_graueri,selected.Gorilla_beringei_graueri,neutral.Gorilla_gorilla_gorilla,selected.Gorilla_gorilla_gorilla,neutral.Pongo_abelii,selected.Pongo_abelii,neutral.Pongo_pygmaeus,selected.Pongo_pygmaeus
4199931.672100194,16438855.183389343,4099628.633294947,15989090.17055584,4057880.964265433,16074394.13789544,4125857.2436470254,15983769.137024833,4074455.371168287,16024043.406038724,4090352.551650969,15993550.053221071,4116738.89326544,16010660.517250808,3997947.3344374658,16504176.681166442,4122686.11017648,16407474.724476168,4123406.2231316497,16408564.73400272,4181200.759908789,16359732.599687172,3997512.709453363,16503513.024113769,4141672.334651037,16234479.28204338,3812064.400062164,15241140.521986691
4048.777805180654,7308.056976697085,17268.48788656637,24900.58519280781,5243.484056074129,9411.588269159956,8561.6226075331,14070.52792634753,11034.198259290708,17328.415322728615,17496.32958345059,25796.6841687028,5025.592914932456,8759.027396093747,9618.99470551242,15395.552174522223,3201.7176484422266,5251.557749714678,3024.517215336203,4913.81973080757,2036.441198613673,3344.60174372851,9617.586656442523,15513.742444952824,8664.617321694432,13578.51413632463,7593.713329681307,11997.93574872462
1942.3894042365127,2950.3572289016447,4503.853840024127,6340.513589840612,2118.549078377391,3424.7763211441184,3956.585902678733,5923.358770551245,5354.680846059432,7398.599631698801,6269.309818186063,8339.02148573185,2449.5081316178484,4015.6843562644895,5185.525467251867,7536.128992167087,2479.297029907087,3836.391399703384,2289.5116668023584,3551.2899777904104,1539.9442961338727,2390.313728557813,5339.967036718724,7748.38811983687,4986.3654311509,7066.937800271527,4225.131121723962,5738.839325154335
1380.7889072999635,1946.5265453240795,2253.6470730282413,3166.255822907944,1126.073830818386,1750.6907373780618,2471.915923764089,3510.167306920395,3268.545247284312,4332.141443317982,3135.2673349064494,4110.090102543102,1527.1306014796708,2405.658320794515,3347.33734276256,4670.679406976013,2104.2760933791924,3149.783275715828,1907.5376863334432,2881.8157516476936,1368.665962791684,1941.3857400025836,3486.002667543406,4845.261188291335,3282.3353592282924,4369.557746340774,3121.158593474636,3987.63610513253
1095.6927593452097,1464.3567956574975,1662.0104528059871,2317.2293962016915,693.1140157452351,1067.5479731901748,1816.64291281468,2474.6365187959204,2199.067738767266,2842.5581139522965,1896.469265623232,2482.888270679164,1085.31623742262,1648.129055711197,2392.604984944139,3269.7536582211765,1827.900031086852,2635.682145597267,1691.5778600483834,2463.679487179368,1172.0808080807897,1727.0404040403612,2489.3607818504497,3379.21483300207,2324.2020202018434,3006.6460761458466,2486.0492160130666,3072.2961310577725
909.043150084831,1177.950392921872,1479.198651066186,2000.762070304099,489.962163054356,750.1777548278088,1359.655810487199,1769.0454233833436,1531.071632721594,1945.470606963507,1288.267690804464,1664.1767048972995,855.8440912797722,1260.4803198477657,1832.228324430698,2468.73408509156,1586.9276405682956,2194.069012523445,1480.0032524663234,2038.2890886100968,1049.6835321578071,1538.331431714561,1889.922009201052,2526.8067223279377,1783.2316182386794,2201.383590100431,2056.7181766394338,2484.1281253408924
758.0417440088332,974.062556535185,1323.2197148053278,1722.3854302677348,391.7737697343656,593.5440082113907,1058.7821830367814,1373.7298467483488,1102.443705399006,1404.6158341038215,944.0311367716024,1199.9488588377174,741.7907158845663,1068.1336230861368,1469.162265493632,1951.4084128747088,1335.322487137671,1799.5616475057377,1316.618608804363,1781.5083265195994,1016.6496432600536,1498.6054633613685,1480.2670008595817,1962.803898140481,1495.200070014719,1814.94510571192,1728.3031909061226,2055.9795200112526
611.1242439302838,795.9760003397317,1128.5667663142165,1420.480262272592,351.4553406345347,518.1605207765356,985.6981096922616,1247.2500853894696,854.4411481148179,1110.973262588469,735.6302614246529,945.2804454000174,823.5417215011091,1140.7519978352263,1167.900791226596,1540.9737846162857,1025.5966379433698,1382.0825481278268,1131.1583235040414,1528.7158897809184,993.779003406533,1420.1174481907178,1145.2727131084634,1520.6703605915757,1282.764896087333,1562.682134070751,1411.0091007828516,1701.180266502086
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
