neutral.Homo_sapiens,selected.Homo_sapiens,neutral.Pan_troglodytes,selected.Pan_troglodytes,neutral.Pan_paniscus,selected.Pan_paniscus,neutral.Pan_troglodytes_ellioti,selected.Pan_troglodytes_ellioti,neutral.Pan_troglodytes_schweinfurthii,selected.Pan_troglodytes_schweinfurthii,neutral.Pan_troglodytes_troglodytes,selected.Pan_troglodytes_troglodytes,neutral.Pan_troglodytes_verus,selected.Pan_troglodytes_verus,neutral.Gorilla_gorilla,selected.Gorilla_gorilla,neutral.Gorilla_beringei,selected.Gorilla_beringei,neutral.Gorilla_gorilla_gorilla,selected.Gorilla_gorilla_gorilla,neutral.Pongo_pygmaeus,selected.Pongo_pygmaeus
4188942.9087379696,16438555.238385277,4079950.273766112,15960646.443530278,4035930.686396696,16086593.200184606,4098184.8808896695,16055780.119110333,4188642.759713632,15886987.583073111,4158041.485269477,15882996.66141506,4120201.3092259215,15994057.161069924,3989435.8633366018,16490036.43386005,4120169.150764276,16403376.787942331,4055701.302644068,16423871.763232024,3830165.812121126,15205148.353568705
4455.817185669009,9136.12821181803,25708.135736759392,37491.08276890604,4992.993454292534,9934.030150756837,509.387074649334,1032.545755982399,10439.88530864325,18475.740582692957,20688.40407286272,33173.02146884939,4946.000509928536,9071.141521890237,8439.091876614058,14937.46768817146,2008.2942484311625,3556.168624239083,8107.56236452858,14678.586564486748,7175.988978382447,13015.849965079502
1786.6918051406444,3028.4097224685406,7577.86491815188,10881.141858715013,2386.51829434224,4271.832935416451,253.8697025775909,497.17731523513794,5354.797194070047,8146.71745386239,9051.050757147785,12549.506835963788,2453.804986394512,4253.524199440237,5078.936598126971,8024.456751776391,1497.749254007305,2479.6685417712706,4938.741021383421,7862.449399272164,3551.303215727329,5401.501799173712
1219.312987972252,1944.191154113852,3684.209622152402,5154.730845213778,1485.3111147712714,2524.489076594936,187.50715744495392,297.0009386539459,3634.263590361192,5164.1737390313565,5034.524406267962,6653.732932270347,1740.1916006770923,2918.6836203824214,3567.6326131930423,5345.491981594578,1268.393381559589,2055.2798871288046,3588.4135530151025,5413.019385767157,2537.102348117612,3587.343235190145
949.9293222118308,1451.6858799220292,2150.515590777548,2979.475870962258,978.0557703511336,1599.3742145112367,145.09100687503815,257.0117779970169,2677.788040095182,3655.379615587478,3189.200867136964,4120.446478160456,1276.6285084226204,2100.274790646224,2673.603514580019,3879.7922793255743,1151.5083457832077,1801.944092935816,2753.5783852099044,3967.004956389604,1985.3142709248368,2797.505191506956
784.8326674362178,1157.606674871119,1419.662262495891,1967.9621773303445,676.8699509411571,1093.509121564469,123.15150493383408,228.8681756258011,2042.796606961658,2748.8707542824286,2163.424117979657,2805.3673470209665,963.8739601144478,1566.5058335499575,2098.406817823489,2977.79756082061,1070.6448339177762,1616.8986027752956,2176.587506708695,3060.3619640134075,1734.3497858402714,2283.097990610308
669.471765655043,961.8250396545797,1032.2530148595722,1446.944928317286,510.5542976598486,822.311901433537,121.5407504439354,210.79379242658612,1621.5408139570552,2167.5339988811206,1577.2550635620207,2032.8057199263112,755.779974703259,1218.5524865215953,1709.3070856361585,2384.493457206786,988.5774057606674,1488.151881629845,1772.7744729479973,2462.527529193331,1513.7510099568103,1942.1004600005408
588.0772803871696,820.5091714658009,815.8199839883838,1161.9810161666176,388.03434954313934,636.9343396901755,115.1790092587471,184.11024379730225,1324.9992616388265,1737.1496756775732,1213.6946069339886,1559.1677932611287,623.06086658881,987.8858326794016,1434.9260144494776,1978.347401998102,915.4067220886903,1374.5294257179207,1485.9742727789655,2051.111370787473,1381.351207026683,1714.0148163932404
529.5219992197091,720.8180332568709,699.0591816417661,1006.1380045789384,314.4917368195497,514.2594000650992,85.43237096071243,161.79677313566208,1116.2171934825567,1436.3435924775408,981.8504997367992,1261.2702941669345,534.8744050694377,823.0167289483852,1230.2689269231753,1681.9577537782263,856.6178325074872,1286.325320149274,1264.554461591856,1733.2467241690367,1219.0373253886644,1494.9418619840137
484.1260087170584,647.6717356965607,648.139805510804,931.5207825545286,251.6873278981805,420.3713567772411,93.6444965004921,144.60799449682236,959.0556163868956,1235.762978658232,804.6731426842496,1063.9352711156266,474.56337392132536,718.1642289334477,1069.266109621975,1454.8716917318054,810.9173592610586,1198.2711046788947,1097.1577150824694,1494.7662928754037,1096.1387994148415,1377.4982084087262
451.123523358562,586.8274333546607,640.725461220752,909.008209518687,211.25307488344936,342.0429121204918,102.0,184.0,817.0228616874567,1061.4260134653891,686.9615527873594,927.8409304948204,423.4511380078336,624.0090133345622,938.6493678465037,1274.4008093429045,768.4631284674113,1117.9379186303136,967.7011078414622,1304.4127118228869,990.1625701967142,1206.3568987399356
421.1389164388132,536.8510488876151,653.9728266912656,909.1313654096094,191.4898644475548,305.870358478567,85.3555034995079,110.39200550317764,697.6674055297334,890.6665520565526,584.2383475104615,769.446688641118,379.1186177250536,554.0143638194047,832.3895777559633,1129.196055057074,726.8875521100879,1017.6450558509788,866.636870814177,1145.5588678115128,905.9316458981732,1126.8962014346023
392.3417923342526,494.9558055458378,663.383707352149,901.0438926374228,172.04002662424182,270.24457686697565,76.56762903928757,99.20322686433792,589.8367587655897,725.8119711105695,504.7556636212609,629.6152034277924,343.0727371526444,495.1309164508645,747.6143275596199,1011.1077474734392,688.8313018055883,932.6585980931388,782.0342378185103,1027.032370042382,847.3154343516762,1021.3222326412316
361.3913950501143,455.588021326563,651.2240250446889,863.5865142462583,157.22251683209123,239.1974043655013,61.82099074125289,86.88975620269774,507.97513455226,605.0282453873372,439.6097221820023,532.9853076045653,316.63190187153725,462.8717067251544,681.835394395687,914.1750062428252,644.966462466607,853.5769416191431,695.6295673909309,924.8371754110714,809.6105224318133,940.27853818522
