neutral.Homo_sapiens,selected.Homo_sapiens,neutral.Pan_paniscus,selected.Pan_paniscus,neutral.Pan_troglodytes_troglodytes,selected.Pan_troglodytes_troglodytes,neutral.Pan_troglodytes_schweinfurthii,selected.Pan_troglodytes_schweinfurthii,neutral.Pan_troglodytes_verus,selected.Pan_troglodytes_verus,neutral.Pan_troglodytes_ellioti,selected.Pan_troglodytes_ellioti,neutral.Pongo_pygmaeus,selected.Pongo_pygmaeus,neutral.Pongo_abelii,selected.Pongo_abelii,neutral.Gorilla_gorilla_gorilla,selected.Gorilla_gorilla_gorilla
1626889.998709,7000976.997252,1454603.99845,6331302.998912,1419937.997513,6169739.996827,1420900.999457,6170886.003838,1421887.9981,6172071.992425,1421115.002565,6171046.000788,1412158.000305,6139387.99819,1429611.999881,6207502.003537,1246485.997497,5488925.99504
1359.731422,2447.73411,1016.389278,1770.143397,2137.5841,3241.267757,1357.034046,2149.64105,855.923982,1499.200936,1292.093716,2142.485467,1125.946124,1657.751243,1936.392564,2521.247464,1178.461466,1958.76521
552.741001,948.755622,381.76957,611.60321,664.289972,787.266289,695.34646,919.487357,282.874931,433.438957,541.575018,788.140297,674.617461,782.992561,1135.247597,1307.898264,627.62246,855.355386
395.132502,596.604397,193.727645,255.375243,276.630572,320.963235,451.845848,551.359876,180.600642,269.703405,335.66657,451.570884,493.544036,572.817947,678.104313,776.964792,391.575094,567.557935
284.0,422.0,115.0,170.0,156.0,199.0,281.0,345.0,110.0,195.0,263.0,303.0,378.0,456.0,499.0,530.0,274.0,374.0
197.867498,282.395603,73.272355,137.624757,130.369428,133.036765,241.154152,231.640124,105.399358,142.296595,202.33343,248.429116,332.455964,363.182053,392.895687,344.035208,209.424906,273.442065
184.258999,200.244378,69.23043,87.39679,109.710028,123.733711,173.65354,195.512643,114.125069,115.561043,173.424982,198.859703,302.382539,326.007439,334.752403,297.101736,191.37754,197.644614
168.268578,195.26589,88.610722,132.856603,151.4159,165.732243,148.965954,213.35895,216.076018,251.799064,208.906284,205.514533,352.053876,311.248757,341.607436,324.752536,189.538534,218.23479
48111.001291,52396.002748,40804.00155,46275.001088,39869.002487,44183.003173,40001.000543,44357.996162,40471.0019,44870.007575,40142.997435,44497.999212,38978.999695,44305.00181,39284.000119,44414.996463,34162.002503,39596.00496
