population,,n_sites,n_annotated,n_mismatches,outgroup_divergence,params_mle
Macaca_arctoides,0,18019369,175962,12282,[3.55848043e-05 3.93062156e-05 5.34211735e-05],"{'K0': 2.427650541826449e-05, 'K1': 1.1308298928635335e-05, 'K2': 7.687957705350524e-06, 'K3': 7.341752438711766e-06, 'K4': 2.145671040186219e-05, 'k': 3.472602739726033}"
Macaca_assamensis,0,17495417,171217,3134,[2.25614755e-05 2.10215686e-05 3.36961125e-05],"{'K0': 8.105436632230305e-06, 'K1': 1.4456038838562586e-05, 'K2': 3.763608971770939e-06, 'K3': 9.15252300295936e-06, 'K4': 2.1827066910597796e-05, 'k': 3.7139689578713933}"
Macaca_leucogenys,0,17993759,154735,7298,[3.36521692e-05 3.22056641e-05 4.63883978e-05],"{'K0': 1.7853799892257573e-05, 'K1': 1.5798369310007933e-05, 'K2': 4.8003593156198694e-06, 'K3': 9.551504915666468e-06, 'K4': 2.3734238559952436e-05, 'k': 3.4309031556039127}"
Papio_anubis,0,19234654,286440,1670,[3.12013753e-06 3.13013753e-06 7.04199005e-05],"{'K0': 3.1101375330744125e-06, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 6.729976295329429e-05, 'k': 4.01031991744064}"
Papio_cynocephalus_anubishybrid,0,19232648,372691,12253,[1.39964979e-05 1.40064979e-05 7.34592385e-05],"{'K0': 1.398649790662914e-05, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 5.9462740583575694e-05, 'k': 4.064684402712569}"
Papio_cynocephalus_ssp,0,19232648,372691,12253,[1.39964979e-05 1.40064979e-05 7.34592385e-05],"{'K0': 1.398649790662914e-05, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 5.9462740583575694e-05, 'k': 4.064684402712569}"
Papio_hamadryas,0,18880185,128774,10431,[4.14126750e-05 4.14226750e-05 1.52888398e-04],"{'K0': 4.140267497475873e-05, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 0.00011147572306921237, 'k': 3.449579831932772}"
Papio_kindae,0,18983132,210448,16170,[3.97968642e-05 3.98068642e-05 1.33290101e-04],"{'K0': 3.97868642217295e-05, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 9.349323662484398e-05, 'k': 3.6072115384615446}"
Papio_ursinus,0,18521582,130776,22247,[8.97697887e-05 8.97797887e-05 2.22249254e-04],"{'K0': 8.975978868732045e-05, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 0.00013247946531511127, 'k': 3.4651384909264547}"
Theropithecus_gelada,0,17658120,74214,3241,[2.78106343e-05 3.21651444e-05 3.78500666e-05],"{'K0': 1.6051150115901517e-05, 'K1': 1.1759484218974325e-05, 'K2': 7.270419475376559e-06, 'K3': 8.843574820731416e-06, 'K4': 1.4528497005710938e-05, 'k': 3.5524093392945852}"
Erythrocebus_patas,0,16904516,268859,70505,[0.00030018 0.00013882 0.00013803],"{'K0': 0.00012734422179936326, 'K1': 0.00017283818525348253, 'K2': 1.3292031816623744e-06, 'K3': 1.0143320517885666e-05, 'K4': 9.358256451603798e-06, 'k': 3.7293312269615595}"
Rhinopithecus_bieti,0,18802518,76937,23170,[0.00033772 0.00015119 0.00015945],"{'K0': 0.00014422448050742284, 'K1': 0.00019349722243774798, 'K2': 1.3323857606086202e-06, 'K3': 5.637307036755182e-06, 'K4': 1.3894676076913164e-05, 'k': 3.2210095497953612}"
Rhinopithecus_roxellana,0,19197392,104119,10649,[1.2994519e-05 5.5323095e-05 6.6384314e-05],"{'K0': 4.161785226251051e-07, 'K1': 1.2578340470296884e-05, 'K2': 4.907565186105933e-05, 'K3': 5.831264576174444e-06, 'K4': 1.6892483656228088e-05, 'k': 2.880835380835389}"
Semnopithecus_hypoleucos,0,18174855,199374,39551,[2.46201914e-04 9.75865542e-05 1.05462893e-04],"{'K0': 8.8149386300636e-05, 'K1': 0.00015805252757696242, 'K2': 1.3153271764011055e-06, 'K3': 8.121840695672945e-06, 'K4': 1.5998179315506818e-05, 'k': 3.1575532900834116}"
Trachypithecus_francoisi,0,17468128,61143,2603,[2.00804969e-05 2.00904969e-05 1.42772446e-04],"{'K0': 2.0070496916297914e-05, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 0.00012269194889575393, 'k': 3.09643705463183}"
Trachypithecus_poliocephalus,0,17267724,44387,6660,[7.52805453e-05 7.52905453e-05 2.32192852e-04],"{'K0': 7.52705452736255e-05, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 0.00015691230707414464, 'k': 3.2239841427155547}"
