neutral.Macaca_fuscata,selected.Macaca_fuscata,neutral.Macaca_mulatta,selected.Macaca_mulatta,neutral.Macaca_nemestrina,selected.Macaca_nemestrina,neutral.Macaca_radiata,selected.Macaca_radiata,neutral.Macaca_silenus,selected.Macaca_silenus,neutral.Macaca_arctoides,selected.Macaca_arctoides,neutral.Papio_anubis,selected.Papio_anubis,neutral.Papio_cynocephalus_ssp,selected.Papio_cynocephalus_ssp,neutral.Papio_cynocephalus,selected.Papio_cynocephalus,neutral.Papio_hamadryas,selected.Papio_hamadryas,neutral.Papio_kindae,selected.Papio_kindae,neutral.Papio_papio,selected.Papio_papio,neutral.Theropithecus_gelada,selected.Theropithecus_gelada,neutral.Rhinopithecus_bieti,selected.Rhinopithecus_bieti,neutral.Rhinopithecus_roxellana,selected.Rhinopithecus_roxellana,neutral.Trachypithecus_poliocephalus,selected.Trachypithecus_poliocephalus
3894205.002269828,15725992.002928069,4005057.7268889854,15636929.822869211,3910864.546531375,15758577.079373548,3894343.813330276,15798664.57651466,3891015.2848325735,15771954.902741589,3894912.807332216,15737332.192667782,3844750.572915436,15944637.715044212,3905108.264618193,15878493.12816814,3997548.895215454,15668468.301969258,3836820.905430209,15960709.94514166,3970983.323990871,15817661.51313921,3804345.466169273,16001036.93325626,3877564.23324363,15343148.281203574,4161854.1526743504,16077756.366506858,4069288.1040728767,16139416.727519048,3990477.499462202,16240088.139254153
14459.465766577474,20134.931980934296,11892.186407680914,15649.111237383911,7825.226387576658,9941.700052122864,1279.6135797129818,1880.343890260206,4369.271443588088,7790.421406979131,9371.50302696228,14438.478998422624,3236.6240290708047,4511.943133811667,4323.153591624622,5709.197083123734,24456.21834633149,31318.51179825932,1130.0069992452409,1607.417439924622,2449.6518909950737,3343.1424765006304,241.3352427380637,397.1059892170216,4220.830225401998,6566.315509461406,1602.3934738839898,1678.921566976019,11442.052962835878,11060.125817812446,1196.2133343261462,2090.6621913627764
6809.892067314292,8818.545271696443,4754.361085415593,5474.553398330751,2795.653594981059,3100.448185541265,580.8189371053851,815.0936457475177,2247.339221495063,3537.1098033640405,4358.812852501869,5859.345556735992,1415.4779797172366,1790.3270255245834,1786.6311334335703,2109.807709749548,10025.00997171853,11771.2187727623,649.32699587464,882.7839903916628,1538.605338715976,1912.4632940508532,139.77024935242233,226.93826970925488,2524.502104161154,3564.152464699828,618.1861477318765,938.3844621029828,2451.3338715007235,3657.6209383085534,946.9536882086592,1594.0521545945414
3776.2266393041377,4673.657437200971,2721.113896844585,2987.505405271182,1414.3986292125026,1477.7677180755811,346.8247551950141,434.3860126472893,1550.026110966927,2283.00220282326,2790.312737703324,3215.724789381027,857.372983696005,1022.627480014444,1026.7159950956593,1152.3849125779025,5799.901543786372,6548.736180748298,453.2237271236301,591.5230995109333,1043.886436096425,1235.8693664622542,112.27338834010682,169.4315548692283,1754.2198212060791,2357.732336872971,460.349053461548,748.6839472602971,1675.3665509998211,2419.933196374893,734.181845952925,1262.9073834200235
2311.80056014578,2789.9139908646275,1786.773008850838,1910.16321610223,846.0795120548232,855.7212268104741,272.3617145533365,341.43196134314945,1172.2647298831948,1666.960498288906,3337.2157195806503,3688.207567512989,594.7120812241877,688.3078092765165,697.9286696569645,768.3926240688701,3988.9801610308177,4415.70897536563,351.38593678738744,437.3158338912042,732.3994139649373,844.3982341521702,95.49529632642265,125.73321425299582,1382.6723785595195,1787.137613221858,401.7481106697595,628.0375946494432,1255.5157630265933,1735.970144160711,601.3570845615433,961.2781899086204
1542.672906904603,1841.3770920891025,1268.7295099759842,1333.9442349954336,563.0277950090928,573.8647991858455,225.5812191829188,293.5165982406378,934.6789632640111,1310.3412566320112,1248.4380971193314,1486.4449064135551,444.8744851069024,508.63503633949153,525.1199439805857,571.7592827843895,3019.453558372052,3322.115246398547,281.57788035486806,343.9136604571234,537.538486839231,607.8632871258008,89.71443989666119,107.83459112544706,1135.0831942056525,1446.6880768501226,371.1171001720091,577.868962913416,964.5512365236976,1318.6916354439566,657.290253107416,985.0173537716998
1117.1055206946055,1336.022758533459,950.3768986674032,993.164826636436,403.9157455060042,421.9824416387272,187.31278699100176,250.7952584747753,775.8844651880058,1064.0553352845554,1125.7390267252922,1254.5564540028572,350.66124682903626,404.461389434318,423.80705832525007,461.3563434779432,2438.8854162843795,2711.668724269496,234.46233905861385,283.8560656224072,421.93433623992746,463.6454543767219,79.81975611284594,96.2511274580287,945.6241938356924,1200.505830275043,364.01709925701647,553.6174426082782,754.4436729828551,1013.6366357314326,1000.7755549216035,1389.9429840027378
872.3689152042303,1058.9178044817668,742.3381091510041,780.4309046547593,307.4073790091093,333.9599856909339,160.67825747495047,213.3445890477212,661.884041634366,898.987416476951,933.3094680905342,1044.2491240501404,285.9538555434592,341.4322639143888,360.904125341178,399.9237341960323,2074.12412597644,2364.5586580032164,201.72087528898373,249.7674601658233,353.8244903594377,383.813241030324,75.92984103287473,87.33050966887677,816.0378787361396,1021.5492023999144,362.77900952201486,545.7088100112272,605.4836427038359,812.3520423557187,1149.0958298729872,1552.7772562193825
724.2754999889112,908.134370152644,600.93414762339,640.7370208696167,251.5890676710716,278.2861415246036,142.1820906197455,186.40026725202264,601.58751862828,851.6730333399049,824.1550192832947,960.1420119404792,242.5571742169294,299.90404564128795,318.67829124532403,363.4132480636721,1833.8089530528864,2147.670521618062,188.8572090736108,237.2865627254763,311.85379113411784,346.98241656671644,74.12053717898526,88.20793180857682,727.6523975256067,913.7382701634372,366.8832306669977,565.5954476616699,505.7527613991904,685.3266565983197,724.6778252086698,1002.8999144146052
626.0822446536135,813.9930305434191,501.7419100961023,542.9581121567854,211.5999153447312,236.0638647675105,137.23465554345043,180.3081694057864,582.8501839712261,892.0774322638475,846.1178956031799,889.0910558700562,209.9560853485336,270.1092483584981,287.19621332809834,334.65453849417304,1645.009389070019,1967.2378080738024,186.8569219934178,240.84936902068367,286.99569285172225,332.0177308396425,81.11764122646704,118.34065190852442,664.1450141278825,838.8362435725313,358.0953214495136,594.2548264182335,429.7309889407208,592.5931458314594,439.3836161752502,705.2065612800031
553.5460264906777,735.5382131465847,430.0689227696842,469.4882597717354,180.1059301255524,201.87430461297785,138.9248447204968,193.20662525879905,559.1740387998647,897.5489284287901,873.9999999999999,953.0,182.26055546004133,235.7472051576856,257.9777478862111,301.8943659569084,1470.6227209333265,1764.249004262776,180.60318645515736,233.5011746498588,272.4043863474538,311.1996048063553,90.50832758224036,153.5558316080053,611.9532507689572,772.8413617504126,348.6683829893246,575.5458430657561,367.8703435173914,506.6537194970858,477.784679089035,873.440993788861
493.059244552673,656.0297198592833,376.9547662057289,411.15785383261857,149.7525208955863,168.0744648707698,118.44354886083995,152.5714278085932,450.8854323720122,683.7328258117448,689.8821043968201,742.9089441299438,152.90519923064045,198.3463354263824,229.1392476086106,259.33939986466646,1297.433216443823,1528.1862309446608,164.8409135388584,204.3194792691477,220.4091921662072,254.13530471515384,67.77986593625755,111.15777961164632,566.7320752129347,694.5501558402323,303.6667725512249,479.8163205596535,308.7873803338077,418.97319396636175,390.036109027083,628.4391191265265
441.72441268725794,576.1424784253762,336.72662437582073,364.1577296304788,125.231681030382,139.38880812914422,111.22212545403596,134.0215848089602,366.7032958723093,519.4475916464661,653.8449807167053,726.8579880595207,125.57953565923374,159.870482658979,202.2957184616459,217.3974533735097,1139.3461928385902,1286.0303710254202,148.72100849785966,176.23363914159896,187.2160812257409,204.71874734980815,53.46598644232078,73.92003732373992,522.8627218340159,617.3827842077236,271.31860771419804,392.8656326127089,257.327107773194,341.77478548850024,437.8973677143407,559.7843505957366
399.0583015311236,507.22021989655417,305.21072540853544,326.685931501617,105.5649912657212,116.9645008924124,115.1178826168413,129.04831949301277,313.65602415016343,423.7905331510578,659.6905319094657,682.7508759498595,102.17011776996782,126.92270731915552,179.27227929940122,183.2797332973291,1013.8920858106904,1084.374159746298,136.5793673816482,154.2206744235093,161.55194614640934,168.4770018664884,46.14493346798675,57.29639965368487,496.3913021499269,558.2567595952042,236.71912583174887,320.3655847699753,214.6572144044276,279.1254175212419,459.8650208705195,569.3780232837369
366.9055580649191,456.5516731783285,278.71878105566884,297.0346234450868,90.59386734063708,101.65196099610604,111.77936433593182,117.53753337105957,281.6441830511288,372.9703289025837,658.2609732747078,690.4435459971428,84.58882603634956,102.55989553407096,161.64254431290962,160.51303631151265,929.3082412637212,943.9708307699414,128.11229713195485,140.95792894067625,143.03777264512334,146.53075802197722,39.214545817108224,49.58734421522566,480.5354720089204,517.7830441596689,206.56659156927824,277.3182788089484,179.51537503946352,232.0465402632389,342.5895871826593,440.9726945216335
342.4857463712776,418.4009707935125,254.01403287675552,273.4930169993302,77.4512482533397,89.31156104131088,103.81600388387066,108.68339307239918,260.9903944437597,323.4726158791373,691.5619028806686,671.5550935864449,72.27228462823892,85.1907139623876,150.32132376975215,147.4876359690213,882.180848885371,862.7069067327313,122.21656445225685,131.89099116411344,128.5854501242757,130.65202528857304,32.45447331573046,44.304166735050245,460.3775605672385,483.477750041874,185.3074911742496,244.6732688077873,151.61051456030148,196.13290709735855,203.3611679353214,271.7089778677005
322.4071842210783,389.22634832640347,229.09348517183872,252.8907448169601,65.57548206037487,77.00973547898386,92.98272940849836,110.41895875124636,242.2485927752532,285.1558196364563,1288.7842804193497,1313.792432487011,62.55685389228318,71.04516359673109,145.59388220535172,141.18701640083924,863.9750910007864,829.8812202693024,118.40349906205662,127.19465482575886,117.55750882256405,116.9957013986719,30.62407946686612,41.53679930832241,426.8103229015926,436.9443111104012,165.9710889399847,212.3364588883294,128.89054508472307,168.8114402062402,159.8293449509791,231.32627084804665
303.5451706587192,362.2249441883373,203.78825627231535,231.9882190773577,55.32837194218612,65.07861587113139,79.01828437411368,95.58065836285898,215.6799576685304,251.43422471551187,443.68726229667664,442.2752106189727,52.35760995587551,57.44231530955318,147.2892723263003,140.40281546873416,865.9649103442569,836.3572764349544,113.44498029943968,121.52489210063696,105.68627803630883,103.88724674057788,30.391039502581663,40.64665484376377,369.4771364055662,379.62507252198975,148.9073655114542,178.1632432569582,104.85842140730972,143.26110197175916,132.30751975383194,189.9027050422354
280.5905459984492,330.8047098183501,178.48946597712816,207.26452521430076,46.67037383132463,54.136869383078086,76.51628853853697,88.19621945974683,177.59516905033647,209.3790794132735,339.18714749813074,351.6544432640075,39.94525282169794,43.933415264198175,154.97249431077935,146.81843147518734,874.1724853069045,864.6808483054384,103.3556412784847,111.18933084070758,90.72262476669374,86.96635908553631,30.803659508442653,40.913687190527085,308.46941835684976,317.627427613956,133.776622043448,146.12785881411796,78.77054959215468,112.7133889943046,116.87061068084957,168.9783366533025
241.378923046688,280.7705535645865,150.87586610779965,173.22508058072364,36.84979114014318,43.06657419422347,121.4166407911649,134.8793328934624,126.98512921411891,146.9031967832802,237.49697303771973,241.5210015773773,25.51264293368903,30.567574666713316,165.5714760185032,161.1868407824688,830.0834055744949,842.5686172716337,84.15853617166702,91.54830199563128,68.06110837541262,65.48239368771644,23.61064149042823,28.934089223057565,245.3122779887809,246.65259248600825,114.98323422012083,112.74143924671432,51.45492013720109,74.45187768958392,79.67589962831917,108.53948377374344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
