neutral,selected
7772136.432939571,31427793.068908095
48099.245612026076,59245.53635976004
17251.665986762324,18723.004788604045
8748.45006844075,9040.521432594385
5231.961039926589,5333.8979238121165
3490.8726270784678,3599.592049831322
2525.3000351777,2662.1300412609394
1943.5825041642304,2104.1847666831936
1566.1511333147319,1754.6556721704894
1310.2970101624153,1498.6383758949257
1109.5257784471298,1285.7013316686493
932.3905135829988,1069.9590948532123
782.0502149924407,885.3947752572524
660.4592894841317,738.858361850473
563.4308488289261,631.4187076735456
481.7081313873965,546.7532719963277
414.66706695232136,477.83770103420306
356.710199918363,412.1996749484489
297.07299791880286,345.25523452989967
226.78085136118327,263.6366779821083
0.0,0.0
