neutral.Papio_anubis,selected.Papio_anubis,neutral.Papio_cynocephalus_anubishybrid,selected.Papio_cynocephalus_anubishybrid,neutral.Papio_cynocephalus_ssp,selected.Papio_cynocephalus_ssp,neutral.Papio_cynocephalus,selected.Papio_cynocephalus,neutral.Papio_hamadryas,selected.Papio_hamadryas,neutral.Papio_kindae,selected.Papio_kindae,neutral.Papio_papio,selected.Papio_papio,neutral.Papio_ursinus,selected.Papio_ursinus,neutral.Papio_ursinus_ssp,selected.Papio_ursinus_ssp
3796547.542735888,15939612.402496016,4049805.1384382662,15678132.30367517,4019060.3143265015,15694928.010462517,4018540.1291772136,15694333.665265435,3918321.85485922,15834233.518646972,3895496.617010497,15826936.047394091,3980560.435407517,15807565.977159368,3892629.8169549215,15848261.306654794,3894188.1394990464,15850345.1069656
15575.355052321083,19919.29579926691,13871.30854953584,16649.619038738998,20095.66170688402,24332.404466340147,20540.59675066953,24866.97405142516,8078.520229778421,10883.950487473585,16040.5526093768,19620.41898320498,2019.820599464868,3308.387620048746,12574.55673182544,15664.29421507464,11389.119759634556,13985.425962331235
6462.428904407587,7929.280907601007,7915.370997999663,8762.324607132783,8126.169427538937,9227.607938293148,8162.624181245189,9262.649962744206,4575.89309190234,5971.659047469707,8462.476521656976,9720.97439689702,1405.0420463683215,2174.1085568049307,5566.824187862483,6584.025980242784,5298.847884728521,6406.2340501517765
3830.807210417897,4831.017903145199,5282.778011695954,5988.564309837045,4989.322646880604,5706.314888219813,4983.534200363422,5689.475901238371,3334.7639135358786,4389.78007115412,5327.51719194253,6048.0093032785935,1298.3172014579534,2116.4451046050226,3775.127104171305,4498.305853250475,3739.581510470307,4383.922659905358
2583.0647191133207,3342.31451085169,4013.954156954998,4773.961926962697,3611.3272308305095,4168.308372260566,3607.310095557392,4151.772600890829,2715.2853225117137,3557.403048502227,3764.491130489444,4283.143338927564,1207.723693238384,2008.7535111409616,3130.3791763794925,3940.315462316041,3133.292929293101,3988.919191919516
1769.9377645449429,2262.5249931563576,2956.741491023542,3224.568401895719,2782.228071584329,3103.3992590850607,2790.304776701465,3108.686358277561,2271.7574672326477,2820.8928038497647,2776.978745205452,3062.757285695207,943.7369655424192,1469.2337633082525,2398.613066768507,2741.911551566652,2361.0588935699525,2638.2672390842213
1181.6891463826037,1433.4617523826644,2231.88323665503,2216.540816333093,2273.978911967858,2366.609998372925,2301.204271667048,2397.49208219444,1951.7121667318847,2241.274093986981,2092.0204852635466,2163.214200607034,678.595747015706,938.4483843584349,1962.5868455483212,2005.2277882108376,1900.5319132510451,1921.5901922719845
740.4413650250801,854.4347394799519,1532.6848348591432,1518.2575069404286,2058.26355729101,2046.0787354335096,2071.562426060844,2068.0178983147234,1691.0124530175408,1836.722296661404,1550.8657344312771,1529.915668436671,514.0192674460022,666.9549723171319,1596.485936619713,1546.2224904472353,1623.817614103568,1572.1437346394398
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
