neutral.Papio_anubis,selected.Papio_anubis,neutral.Papio_cynocephalus_ssp,selected.Papio_cynocephalus_ssp,neutral.Papio_cynocephalus,selected.Papio_cynocephalus,neutral.Papio_hamadryas,selected.Papio_hamadryas,neutral.Papio_kindae,selected.Papio_kindae,neutral.Papio_papio,selected.Papio_papio
3844750.572915436,15944637.715044212,3905108.264618193,15878493.12816814,3997548.895215454,15668468.301969258,3836820.905430209,15960709.94514166,3970983.323990871,15817661.51313921,3804345.466169273,16001036.93325626
3236.6240290708047,4511.943133811667,4323.153591624622,5709.197083123734,24456.21834633149,31318.51179825932,1130.0069992452409,1607.417439924622,2449.6518909950737,3343.1424765006304,241.3352427380637,397.1059892170216
1415.4779797172366,1790.3270255245834,1786.6311334335703,2109.807709749548,10025.00997171853,11771.2187727623,649.32699587464,882.7839903916628,1538.605338715976,1912.4632940508532,139.77024935242233,226.93826970925488
857.372983696005,1022.627480014444,1026.7159950956593,1152.3849125779025,5799.901543786372,6548.736180748298,453.2237271236301,591.5230995109333,1043.886436096425,1235.8693664622542,112.27338834010682,169.4315548692283
594.7120812241877,688.3078092765165,697.9286696569645,768.3926240688701,3988.9801610308177,4415.70897536563,351.38593678738744,437.3158338912042,732.3994139649373,844.3982341521702,95.49529632642265,125.73321425299582
444.8744851069024,508.63503633949153,525.1199439805857,571.7592827843895,3019.453558372052,3322.115246398547,281.57788035486806,343.9136604571234,537.538486839231,607.8632871258008,89.71443989666119,107.83459112544706
350.66124682903626,404.461389434318,423.80705832525007,461.3563434779432,2438.8854162843795,2711.668724269496,234.46233905861385,283.8560656224072,421.93433623992746,463.6454543767219,79.81975611284594,96.2511274580287
285.9538555434592,341.4322639143888,360.904125341178,399.9237341960323,2074.12412597644,2364.5586580032164,201.72087528898373,249.7674601658233,353.8244903594377,383.813241030324,75.92984103287473,87.33050966887677
242.5571742169294,299.90404564128795,318.67829124532403,363.4132480636721,1833.8089530528864,2147.670521618062,188.8572090736108,237.2865627254763,311.85379113411784,346.98241656671644,74.12053717898526,88.20793180857682
209.9560853485336,270.1092483584981,287.19621332809834,334.65453849417304,1645.009389070019,1967.2378080738024,186.8569219934178,240.84936902068367,286.99569285172225,332.0177308396425,81.11764122646704,118.34065190852442
182.26055546004133,235.7472051576856,257.9777478862111,301.8943659569084,1470.6227209333265,1764.249004262776,180.60318645515736,233.5011746498588,272.4043863474538,311.1996048063553,90.50832758224036,153.5558316080053
152.90519923064045,198.3463354263824,229.1392476086106,259.33939986466646,1297.433216443823,1528.1862309446608,164.8409135388584,204.3194792691477,220.4091921662072,254.13530471515384,67.77986593625755,111.15777961164632
125.57953565923374,159.870482658979,202.2957184616459,217.3974533735097,1139.3461928385902,1286.0303710254202,148.72100849785966,176.23363914159896,187.2160812257409,204.71874734980815,53.46598644232078,73.92003732373992
102.17011776996782,126.92270731915552,179.27227929940122,183.2797332973291,1013.8920858106904,1084.374159746298,136.5793673816482,154.2206744235093,161.55194614640934,168.4770018664884,46.14493346798675,57.29639965368487
84.58882603634956,102.55989553407096,161.64254431290962,160.51303631151265,929.3082412637212,943.9708307699414,128.11229713195485,140.95792894067625,143.03777264512334,146.53075802197722,39.214545817108224,49.58734421522566
72.27228462823892,85.1907139623876,150.32132376975215,147.4876359690213,882.180848885371,862.7069067327313,122.21656445225685,131.89099116411344,128.5854501242757,130.65202528857304,32.45447331573046,44.304166735050245
62.55685389228318,71.04516359673109,145.59388220535172,141.18701640083924,863.9750910007864,829.8812202693024,118.40349906205662,127.19465482575886,117.55750882256405,116.9957013986719,30.62407946686612,41.53679930832241
52.35760995587551,57.44231530955318,147.2892723263003,140.40281546873416,865.9649103442569,836.3572764349544,113.44498029943968,121.52489210063696,105.68627803630883,103.88724674057788,30.391039502581663,40.64665484376377
39.94525282169794,43.933415264198175,154.97249431077935,146.81843147518734,874.1724853069045,864.6808483054384,103.3556412784847,111.18933084070758,90.72262476669374,86.96635908553631,30.803659508442653,40.913687190527085
25.51264293368903,30.567574666713316,165.5714760185032,161.1868407824688,830.0834055744949,842.5686172716337,84.15853617166702,91.54830199563128,68.06110837541262,65.48239368771644,23.61064149042823,28.934089223057565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
