,match,mismatch,mismatch_fraction,no_data
Hylobates_pileatus,22519.0,10.0,0.0004438723423143504,
Nomascus_leucogenys,21679.0,116.0,0.005322321633402157,734.0
Homo_sapiens,22184.0,345.0,0.015313595809845088,
