,match,no_data,mismatch,mismatch_fraction
Hylobates_pileatus,10456.0,809.0,78.0,0.007404594645908487
Nomascus_leucogenys,10818.0,438.0,87.0,0.00797799174690509
Homo_sapiens,11141.0,,202.0,0.01780833994534074
