,no_data,match,mismatch,mismatch_fraction
Pan_troglodytes,2967.0,76010.0,1095.0,0.0142014136567019
Gorilla_gorilla,3079.0,75844.0,1149.0,0.014923434597950463
Pongo_abelii,9385.0,69309.0,1378.0,0.019494390764921415
