,match,mismatch,no_data,mismatch_fraction
Homo_sapiens,67366.0,1465.0,1260.0,0.021284014470224173
Gorilla_gorilla,66583.0,1616.0,1892.0,0.02369536210208361
Pongo_abelii,60902.0,1980.0,7209.0,0.031487548105976274
