,match,mismatch,no_data,mismatch_fraction
Pan_troglodytes,53284.0,495.0,213.0,0.009204336265084885
Gorilla_gorilla,52641.0,615.0,736.0,0.01154799459215863
Pongo_abelii,48386.0,823.0,4783.0,0.016724582901501757
