,no_data,match,mismatch,mismatch_fraction
Homo_sapiens,5553.0,486148.0,6337.0,0.01286739697655766
Gorilla_gorilla,8114.0,482552.0,7372.0,0.0150472318155469
Pongo_abelii,38734.0,450796.0,8508.0,0.018523679306080506
