label,x
Homo_sapiens,21986.74554493553
Pan_troglodytes,71507.77628711585
Pan_paniscus,21503.33618299598
Pan_troglodytes_ellioti,3207.1401818506706
Pan_troglodytes_schweinfurthii,49787.87712155599
Pan_troglodytes_troglodytes,70662.24048291348
Pan_troglodytes_verus,25183.221600692574
Pan_troglodytes,71507.77628711585
Gorilla_gorilla,45580.59213136119
Gorilla_beringei,22582.277107659265
Gorilla_gorilla_gorilla,45077.788681284605
Pongo_pygmaeus,46707.45262682017
Macaca_fuscata,120691.47909070824
Macaca_mulatta,263976.390038952
Macaca_nemestrina,475339.63148240105
Macaca_radiata,133974.6904962907
Macaca_silenus,78356.38244112123
Macaca_arctoides,147222.78089694172
Papio_anubis,224320.3298107917
Papio_cynocephalus_ssp,288691.68170875515
Papio_cynocephalus,293600.1679492726
Papio_hamadryas,147869.3622662201
Papio_kindae,247961.1326832351
Papio_papio,42693.56678980805
Theropithecus_gelada,80799.44829259432
Rhinopithecus_bieti,25994.19452710381
Rhinopithecus_roxellana,80582.99746511078
Trachypithecus_poliocephalus,25536.801380867004
