neutral,selected
3922540.919442914,16006107.384045474
7107.069187575851,12642.34781092506
4284.673948784058,6816.210464044688
2996.7540198352012,4523.28174587452
2234.567165250289,3270.64775507296
1747.0298576482787,2500.7760582515366
1420.9369480484418,1997.8708988438987
1194.1688043279557,1655.6442160276129
1026.827804857335,1408.512270275151
895.1517655737797,1220.4119213753847
787.3744736634576,1068.9870377276325
699.0342592720037,945.6817582114267
628.9590434498633,847.2608721230847
575.7240164923332,770.3161703875429
535.4417658212471,711.565048379784
502.0634739967796,664.5712369846543
468.8206769246427,620.3659625928581
427.0245381392823,569.2069162137834
374.37084463164877,502.31912475671805
298.1210753768318,411.60557387606974
0.0,0.0
