neutral,selected
4028451.978744812,15901520.204122327
6986.006778674753,12686.89187898533
3491.369305115865,5282.388411134678
2479.2617644039947,3501.4946402816263
1959.8686461056434,2726.5809496857673
1707.4259050839562,2229.3340661458446
1490.0473443490516,1891.2127994044279
1347.9030892775568,1678.5782492908356
1197.7151842719315,1478.4850706620384
1077.2161536415174,1354.4686697015168
975.3166658838153,1183.3276186788137
894.1613775939602,1100.9001445233869
841.0685332907351,998.5792984228904
793.3106976120016,921.4718348468649
741.9986195349562,859.260460970842
678.7239639339205,802.0274700821188
622.1092364077294,737.3808693353208
579.9995511429897,678.9539952093969
489.99488627564733,585.8670160931225
422.7960274984369,554.3199593076238
0.0,0.0
