BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMN07678095	SAMN07678095	SAMN07678095	SRS9004472	PRJNA399404	Mirza_coquereli_ssp	Mirza_coquereli_ssp	Microcebus_murinus_ssp	Mirza	coquereli	ssp	F	F	30.825	0.865	34.817	0.797	Unknown	Unknown
SAMEA112482921	PD_0163	PD_0163	ERS14600272	PRJEB59576	Mirza_zaza_ssp	Mirza_zaza_ssp	Microcebus_murinus_ssp	Mirza	zaza	ssp	M	M	56.386	0.88	34.886	0.802	Unknown	Unknown
SAMEA112483137	PD_0608	PD_0608	ERS14600488	PRJEB59576	Mirza_zaza_ssp	Mirza_zaza_ssp	Microcebus_murinus_ssp	Mirza	zaza	ssp	F	F	36.385	0.889	37.355	0.815	Unknown	Unknown
SAMEA116330195	SAMEA116330195	SAMEA116330195	ERS21379041	PRJEB77609	Mirza_zaza_ssp	Mirza_zaza_ssp	Microcebus_murinus_ssp	Mirza	zaza	ssp	Unknown	F	35.176	0.874	37.966	0.797	Unknown	Unknown
SAMEA116330196	SAMEA116330196	SAMEA116330196	ERS21379042	PRJEB77609	Mirza_zaza_ssp	Mirza_zaza_ssp	Microcebus_murinus_ssp	Mirza	zaza	ssp	Unknown	M	18.064	0.419	13.441	0.407	Unknown	Unknown
SAMEA116330197	SAMEA116330197	SAMEA116330197	ERS21379043	PRJEB77609	Mirza_zaza_ssp	Mirza_zaza_ssp	Microcebus_murinus_ssp	Mirza	zaza	ssp	Unknown	M	17.626	0.424	13.193	0.408	Unknown	Unknown
SAMN10707785	SAMN10707785	SAMN10707785	SRS4263989	PRJNA512515	Mirza_zaza_ssp	Mirza_zaza_ssp	Microcebus_murinus_ssp	Mirza	zaza	ssp	F	F	44.267	0.883	47.129	0.81	Unknown	Unknown
