REFERENCE_FOLDER	REFERENCE_NAME	GENBANK_ID	FTP
Saimiri_boliviensis_boliviensis	BCM_Sbol_2.1	GCA_016699345.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/345/GCF_016699345.2_BCM_Sbol_2.1/GCF_016699345.2_BCM_Sbol_2.1_genomic.fna.gz
Saimiri_boliviensis_ssp	BCM_Sbol_2.1	GCA_016699345.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/345/GCF_016699345.2_BCM_Sbol_2.1/GCF_016699345.2_BCM_Sbol_2.1_genomic.fna.gz
