neutral,selected
8411146.008376734,31824691.334410015
10439.838958017299,18475.697974739465
5354.76812837117,8146.689583449258
3634.2335079174413,5164.145346735484
2677.7665269448767,3655.3541716775817
2042.7778289715616,2748.84914312834
1621.5291022527326,2167.5066258366005
1324.9851360323162,1737.1223241190235
1116.209205496166,1436.3247821341417
959.0441756530325,1235.7464716907698
817.0228616874567,1061.4260134653891
697.6788462635969,890.6830590240133
589.8447467519798,725.8307814539685
507.9892601587698,605.05559694589
434.0372093102219,531.3849279595172
378.35190207347404,496.46280442824406
350.09306632203464,451.4536359331067
324.75554455138825,418.9175397549012
300.7726935332359,392.04753023368835
288.58080174549184,374.6793984898187
0.0,0.0
