label,x
Homo_sapiens,21188.434491793683
Pan_paniscus,21264.874085021842
Pan_troglodytes_troglodytes,57172.57063222382
Pan_troglodytes_schweinfurthii,45864.35476919406
Pan_troglodytes_verus,22474.870139677914
Pan_troglodytes_ellioti,36166.32534042905
Pongo_pygmaeus,42453.510961088614
Pongo_abelii,36741.06178993555
Gorilla_gorilla_gorilla,47152.101704567605
