neutral,selected
3897736.6268678927,16044939.444726624
5998.866548814187,9922.596622426323
3649.297308953464,5382.263431894926
2550.274644073191,3549.3480177642496
1902.4749607133729,2542.1499478685346
1490.7917657826135,1931.0948402764836
1216.463072723137,1539.436026597575
1023.5810917666402,1274.3287150048607
878.3579721194237,1081.5274874976078
763.016012440001,931.8444004763456
669.2953045348613,812.0932903005735
593.1629934282421,716.4129582841392
532.6212573089545,640.5157222977665
485.9940827016461,579.9086515275019
450.09858099295155,530.4808853271696
419.698122952493,488.5892574883192
388.5813433874683,449.5086978925011
351.74787034432796,405.99496550839547
305.7063013559658,351.50471776138215
242.82843379901746,281.47210109687336
0.0,0.0
