neutral,selected
3897326.8017525026,16044619.93918397
5722.601986491393,9597.34845293138
3491.724536991305,5207.575874219034
2455.363167496014,3446.2855044213334
1846.9202625215116,2479.7004371727953
1460.6240005637835,1893.7286087452694
1202.2245688697856,1518.347077151937
1018.8205981533384,1264.224617725368
879.5925809325327,1079.2343111425153
769.163695183991,935.5905340746259
680.5327474804374,821.122479128588
609.9448280245508,730.8355922573893
555.5509059076488,661.3724796068989
516.7160041379974,609.4322461841186
492.5884365071642,572.6111446844017
481.1943293361777,550.1853776951236
480.72548853296036,541.9273624549581
494.02688001454743,548.0291181785992
531.882994602574,579.9754329955766
632.4847718309582,693.0496291776733
0.0,0.0
